# Simulazione modello di Ising 1D
# Mossa 	 Energia 	 Magnetizzazione
1     -5901.2919921875      0.06639999896287918
2     -5877.7705078125      0.06880000233650208
3     -5840.53466796875      0.08259999752044678
4     -5751.72998046875      0.05860000103712082
5     -5862.20849609375      0.05099999904632568
6     -5891.16845703125      0.05579999834299088
7     -5840.525390625      0.04259999841451645
8     -5785.8056640625      0.04899999871850014
9     -5921.77001953125      0.06880000233650208
10     -5865.25244140625      0.08619999885559082
11     -5874.65087890625      0.07320000231266022
12     -5826.32861328125      0.05160000175237656
13     -5920.45263671875      0.06219999864697456
14     -5903.32958984375      0.05660000070929527
15     -5852.0107421875      0.05999999865889549
16     -5798.7333984375      0.07360000163316727
17     -5779.29345703125      0.07639999687671661
18     -5777.57080078125      0.06780000030994415
19     -5757.9677734375      0.04980000108480453
20     -5780.88720703125      0.04439999908208847
21     -5669.36669921875      0.04679999873042107
22     -5641.44775390625      0.04720000177621841
23     -5737.84912109375      0.04919999837875366
24     -5710.1689453125      0.05079999938607216
25     -5805.68798828125      0.04839999973773956
26     -5840.84716796875      0.04419999942183495
27     -5822.244140625      0.03119999915361404
28     -5814.560546875      0.0127999996766448
29     -5952.68310546875      0.02339999936521053
30     -5799.845703125      0.03920000046491623
31     -5716.56689453125      0.04280000180006027
32     -5677.68603515625      0.0284000001847744
33     -5717.6494140625      0.04820000007748604
34     -5789.0859375      0.02539999969303608
35     -5665.88671875      0.02940000034868717
36     -5820.96923828125      0.04479999840259552
37     -5768.88720703125      0.04439999908208847
38     -5822.52978515625      0.05260000005364418
39     -5906.4921875      0.07240000367164612
40     -5867.33251953125      0.07660000026226044
41     -5986.130859375      0.0706000030040741
42     -6005.5712890625      0.06780000030994415
43     -5923.80810546875      0.05900000035762787
44     -5900.04931640625      0.06019999831914902
45     -5931.56689453125      0.03779999911785126
46     -5936.927734375      0.044599998742342
47     -5873.00634765625      0.04500000178813934
48     -5849.96728515625      0.04980000108480453
49     -5941.1259765625      0.04560000076889992
50     -5783.8857421875      0.03940000012516975
51     -5837.287109375      0.04639999940991402
52     -5846.84912109375      0.05420000106096268
53     -5892.0498046875      0.06019999831914902
54     -5823.2880859375      0.05640000104904175
55     -5715.28857421875      0.05640000104904175
56     -5766.68505859375      0.03339999914169312
57     -5906.205078125      0.03099999949336052
58     -5994.083984375      0.03040000051259995
59     -5988.20263671875      0.02099999971687794
60     -6018.24365234375      0.03119999915361404
61     -5958.92724609375      0.05460000038146973
62     -5801.1669921875      0.04580000042915344
63     -5740.845703125      0.04419999942183495
64     -5662.28564453125      0.03139999881386757
65     -5807.1259765625      0.03559999912977219
66     -5774.365234375      0.03180000185966492
67     -5872.0458984375      0.04019999876618385
68     -5861.52685546875      0.04760000109672546
69     -5921.40673828125      0.04699999839067459
70     -5778.60546875      0.03299999982118607
71     -5777.68798828125      0.04839999973773956
72     -5896.6875      0.04340000078082085
73     -5855.56689453125      0.03779999911785126
74     -5851.806640625      0.0390000008046627
75     -5866.087890625      0.05040000006556511
76     -5896.64892578125      0.06319999694824219
77     -5975.17236328125      0.07580000162124634
78     -5869.5341796875      0.08760000020265579
79     -5856.4130859375      0.0820000022649765
80     -5827.8125      0.07900000363588333
81     -6080.4169921875      0.1019999980926514
82     -6103.85546875      0.09920000284910202
83     -6018.81494140625      0.09399999678134918
84     -5809.9326171875      0.08959999680519104
85     -5916.53125      0.08259999752044678
86     -5850.7734375      0.09380000084638596
87     -5898.37109375      0.07180000096559525
88     -5818.8876953125      0.0544000007212162
89     -5796.9228515625      0.02459999918937683
90     -5855.9267578125      0.03959999978542328
91     -5823.56591796875      0.03779999911785126
92     -5883.44921875      0.05719999969005585
93     -5811.01220703125      0.07500000298023224
94     -5852.6103515625      0.06300000101327896
95     -5991.16650390625      0.03579999879002571
96     -5895.60595703125      0.03799999877810478
97     -5865.40673828125      0.04699999839067459
98     -5740.88671875      0.04439999908208847
99     -5785.2880859375      0.04639999940991402
100     -5603.087890625      0.05539999902248383
101     -5775.92822265625      0.05959999933838844
102     -5781.130859375      0.06560000032186508
103     -5807.53369140625      0.07760000228881836
104     -5871.49072265625      0.05739999935030937
105     -5838.60986328125      0.05299999937415123
106     -5752.88330078125      0.02439999952912331
107     -5732.68310546875      0.02339999936521053
108     -5892.603515625      0.02300000004470348
109     -5827.24755859375      0.03620000183582306
110     -5825.16455078125      0.02580000087618828
111     -5965.8056640625      0.02899999916553497
112     -5805.0849609375      0.02539999969303608
113     -5910.24755859375      0.03119999915361404
114     -5794.4482421875      0.03220000118017197
115     -5774.810546875      0.05400000140070915
116     -5824.453125      0.06219999864697456
117     -5774.734375      0.07360000163316727
118     -5838.01220703125      0.07000000029802322
119     -5758.330078125      0.05160000175237656
120     -5746.17041015625      0.05079999938607216
121     -5807.892578125      0.05939999967813492
122     -5739.7724609375      0.05880000069737434
123     -5731.96826171875      0.0397999994456768
124     -5865.05322265625      0.06520000100135803
125     -5943.81103515625      0.05900000035762787
126     -5818.8095703125      0.05400000140070915
127     -5878.29052734375      0.05139999836683273
128     -5892.9697265625      0.04479999840259552
129     -5846.2880859375      0.03139999881386757
130     -5739.09130859375      0.05539999902248383
131     -5855.771484375      0.05880000069737434
132     -5831.69140625      0.05840000137686729
133     -5760.6923828125      0.06340000033378601
134     -5754.61181640625      0.07299999892711639
135     -5864.73046875      0.06360000371932983
136     -5889.44873046875      0.04720000177621841
137     -5900.37255859375      0.06179999932646751
138     -5873.2529296875      0.06620000302791595
139     -5922.8544921875      0.07419999688863754
140     -5861.1767578125      0.08579999953508377
141     -6050.9365234375      0.07460000365972519
142     -5997.85400390625      0.06920000165700912
143     -5837.81396484375      0.0689999982714653
144     -5964.2529296875      0.06120000034570694
145     -5920.41162109375      0.06199999898672104
146     -5796.93212890625      0.06459999829530716
147     -5785.01416015625      0.06499999761581421
148     -5875.5751953125      0.07779999822378159
149     -5912.01513671875      0.07999999821186066
150     -5953.98046875      0.1098000034689903
151     -6095.25390625      0.07620000094175339
152     -5942.1318359375      0.0706000030040741
153     -5894.0107421875      0.07000000029802322
154     -5928.69287109375      0.08340000361204147
155     -5960.37158203125      0.08179999887943268
156     -5940.013671875      0.07999999821186066
157     -5943.88916015625      0.05939999967813492
158     -5934.6083984375      0.05299999937415123
159     -5873.33203125      0.066600002348423
160     -5828.53466796875      0.08259999752044678
161     -5664.81396484375      0.08399999886751175
162     -5812.974609375      0.08479999750852585
163     -5855.974609375      0.07980000227689743
164     -5932.21435546875      0.08100000023841858
165     -5812.93505859375      0.08460000157356262
166     -5792.8544921875      0.08420000225305557
167     -5784.1337890625      0.08060000091791153
168     -5962.89306640625      0.07440000027418137
169     -6048.2109375      0.06100000068545341
170     -5934.89306640625      0.07440000027418137
171     -5832.771484375      0.06379999965429306
172     -5989.65625      0.08820000290870667
173     -5970.7333984375      0.07360000163316727
174     -5843.29443359375      0.07639999687671661
175     -5751.25390625      0.07620000094175339
176     -5741.6513671875      0.0681999996304512
177     -5967.732421875      0.07859999686479568
178     -5819.93359375      0.07959999889135361
179     -5931.251953125      0.07620000094175339
180     -5887.01513671875      0.0949999988079071
181     -5876.61376953125      0.08299999684095383
182     -5806.130859375      0.0706000030040741
183     -5942.251953125      0.07119999825954437
184     -5973.650390625      0.0681999996304512
185     -5895.6494140625      0.05820000171661377
186     -5620.2099609375      0.06100000068545341
187     -5736.4140625      0.0820000022649765
188     -5825.65673828125      0.08820000290870667
189     -5856.6953125      0.08340000361204147
190     -5836.33349609375      0.08160000294446945
191     -5759.8125      0.07900000363588333
192     -5728.734375      0.0835999995470047
193     -5834.01513671875      0.09000000357627869
194     -5795.3330078125      0.07660000026226044
195     -5810.33544921875      0.09160000085830688
196     -5720.53369140625      0.08259999752044678
197     -5705.6904296875      0.06840000301599503
198     -5677.3291015625      0.066600002348423
199     -5839.404296875      0.03700000047683716
200     -5864.60400390625      0.02300000004470348
201     -5958.80615234375      0.03400000184774399
202     -5854.8486328125      0.05420000106096268
203     -5730.572265625      0.07280000299215317
204     -5771.28955078125      0.05640000104904175
205     -5862.5703125      0.05279999971389771
206     -5883.80810546875      0.0390000008046627
207     -5819.888671875      0.03940000012516975
208     -5877.53369140625      0.06759999692440033
209     -5877.81494140625      0.0689999982714653
210     -5838.0146484375      0.07000000029802322
211     -5842.61083984375      0.05299999937415123
212     -5933.7294921875      0.04859999939799309
213     -5940.208984375      0.04100000113248825
214     -5968.0888671875      0.04039999842643738
215     -5960.76953125      0.0438000001013279
216     -5960.09130859375      0.06040000170469284
217     -5966.13330078125      0.0706000030040741
218     -5933.37451171875      0.06679999828338623
219     -5819.69189453125      0.05840000137686729
220     -5865.93408203125      0.06960000097751617
221     -5829.93603515625      0.06960000097751617
222     -5910.09619140625      0.07039999961853027
223     -5864.294921875      0.06140000000596046
224     -5841.45458984375      0.06719999760389328
225     -6009.8974609375      0.08940000087022781
226     -5778.81494140625      0.07400000095367432
227     -5859.0537109375      0.07519999891519547
228     -5822.53515625      0.07259999960660934
229     -5823.8955078125      0.07940000295639038
230     -5787.6953125      0.07840000092983246
231     -5862.65478515625      0.07320000231266022
232     -5783.20947265625      0.0560000017285347
233     -5853.84814453125      0.04919999837875366
234     -5924.13037109375      0.06060000136494637
235     -5830.80908203125      0.05400000140070915
236     -5820.80712890625      0.04399999976158142
237     -5916.5654296875      0.04280000180006027
238     -5746.6064453125      0.05299999937415123
239     -5752.5654296875      0.04280000180006027
240     -5781.646484375      0.04820000007748604
241     -5970.927734375      0.05460000038146973
242     -5937.81005859375      0.0689999982714653
243     -5764.1318359375      0.08060000091791153
244     -5855.81005859375      0.05900000035762787
245     -5820.37158203125      0.06179999932646751
246     -5876.85205078125      0.06419999897480011
247     -5787.49072265625      0.05739999935030937
248     -5814.4873046875      0.03240000084042549
249     -5833.810546875      0.04899999871850014
250     -5750.9697265625      0.03480000048875809
251     -5678.12841796875      0.03060000017285347
252     -5710.52734375      0.03260000050067902
253     -5833.52734375      0.02759999968111515
254     -5716.1650390625      0.02080000005662441
255     -5859.7255859375      0.01860000006854534
256     -5828.04541015625      0.02019999921321869
257     -5786.005859375      0.02999999932944775
258     -5804.56787109375      0.04280000180006027
259     -5860.20849609375      0.04100000113248825
260     -5951.00732421875      0.03500000014901161
261     -5953.728515625      0.04859999939799309
