# Simulazione modello di Ising 1D
# Mossa 	 Energia 	 Magnetizzazione
0     -1226.3623046875      0.03933333232998848
1     -1472.482788085938      0.07466666400432587
2     -1645.923706054688      0.09866666793823242
3     -1750.804565429688      0.1133333370089531
4     -1743.64208984375      0.06066666543483734
5     -1698.124633789062      0.1019999980926514
6     -1794.045166015625      0.1006666645407677
7     -1712.04345703125      0.06733333319425583
8     -1697.841186523438      0.0306666661053896
9     -1761.560668945312      0.0260000005364418
10     -1764.640258789062      0.01066666655242443
11     -1722.999145507812      -0.01666666753590107
12     -1739.480346679688      -0.008666666224598885
13     -1727.520263671875      -0.00800000037997961
14     -1721.959106445312      -0.03400000184774399
15     -1762.840087890625      -0.01933333277702332
16     -1751.921142578125      -0.001333333319053054
17     -1731.158935546875      -0.01400000043213367
18     -1707.3603515625      -0.01066666655242443
19     -1729.520629882812      0.02533333376049995
20     -1769.080078125      0.01799999922513962
21     -1717.680419921875      0.02800000086426735
22     -1709.640380859375      0.0273333340883255
23     -1660.002319335938      0.06666667014360428
24     -1742.440551757812      0.04066666588187218
25     -1800.041015625      0.06733333319425583
26     -1779.601806640625      0.05999999865889549
27     -1747.962890625      0.06599999964237213
28     -1683.483276367188      0.05799999833106995
29     -1680.44482421875      0.07400000095367432
30     -1736.164916992188      0.06933332979679108
31     -1712.124877929688      0.06866666674613953
32     -1740.243896484375      0.07066666334867477
33     -1738.603149414062      0.04333333298563957
34     -1763.883056640625      0.06466666609048843
35     -1707.202026367188      0.0533333346247673
36     -1696.044677734375      0.06733333319425583
37     -1683.04248046875      0.05066666752099991
38     -1784.162963867188      0.06933332979679108
39     -1738.322143554688      0.03866666555404663
40     -1777.96044921875      0.03266666829586029
41     -1765.240112304688      0.02066666632890701
42     -1696.800415039062      0.01333333365619183
43     -1712.639770507812      0.01066666655242443
44     -1660.03857421875      0.0006666666595265269
45     -1696.319091796875      0.005333333276212215
46     -1661.921264648438      0.03200000151991844
47     -1698.921142578125      0.04866666719317436
48     -1702.841186523438      0.04733333364129066
49     -1843.201171875      0.0533333346247673
50     -1743.881713867188      0.06466666609048843
51     -1755.921142578125      0.06533333659172058
52     -1763.119018554688      0.05200000107288361
53     -1828.36083984375      0.07266666740179062
54     -1789.001342773438      0.0833333358168602
55     -1719.801879882812      0.06333333253860474
56     -1723.76171875      0.06266666948795319
57     -1729.203002929688      0.08666666597127914
58     -1710.76416015625      0.1126666665077209
59     -1777.802856445312      0.09666666388511658
60     -1781.202026367188      0.08666666597127914
61     -1770.042846679688      0.1006666645407677
62     -1859.484619140625      0.1246666684746742
63     -1865.045654296875      0.150666669011116
64     -1746.763916015625      0.1126666665077209
65     -1699.9658203125      0.1326666623353958
66     -1757.327270507812      0.1553333401679993
67     -1783.7646484375      0.1293333321809769
68     -1763.7255859375      0.1286666691303253
69     -1710.525512695312      0.1086666658520699
70     -1774.1240234375      0.1019999980926514
71     -1754.043334960938      0.1006666645407677
72     -1723.36376953125      0.1226666644215584
73     -1680.681884765625      0.07800000160932541
74     -1715.081787109375      0.05133333429694176
75     -1688.760131835938      0.01266666688024998
76     -1642.561157226562      0.04266666620969772
77     -1644.442016601562      0.07400000095367432
78     -1730.001708984375      0.03333333507180214
79     -1692.722045898438      0.01200000010430813
80     -1678.601440429688      0.04333333298563957
81     -1705.081298828125      0.0846666693687439
82     -1673.922119140625      0.09866666793823242
83     -1657.522338867188      0.09200000017881393
