Simulazione modello di Ising2D
# mossa   Energia    Magnetizzazione
1 -1.99704 0.999246
2 -1.99716 0.999276
3 -1.99704 0.999246
4 -1.99717 0.99928
5 -1.99696 0.999226
6 -1.99723 0.999294
7 -1.99719 0.999281
8 -1.99714 0.999269
9 -1.99725 0.999303
10 -1.99714 0.999273
11 -1.99709 0.999257
12 -1.9971 0.99926
13 -1.99716 0.999276
14 -1.99716 0.99928
15 -1.99698 0.999233
16 -1.99706 0.999248
17 -1.99705 0.999248
18 -1.99727 0.999309
19 -1.99732 0.999319
20 -1.99712 0.999271
21 -1.99712 0.999262
22 -1.99719 0.999281
23 -1.99713 0.999265
24 -1.99724 0.999293
25 -1.99743 0.999347
26 -1.99708 0.999259
27 -1.99711 0.99926
28 -1.99728 0.999311
29 -1.99713 0.999269
30 -1.99722 0.999294
31 -1.99709 0.99926
32 -1.99718 0.999284
33 -1.99731 0.999316
34 -1.99716 0.999277
35 -1.99727 0.999307
36 -1.99717 0.999277
37 -1.99715 0.999276
38 -1.99723 0.999296
39 -1.99729 0.999309
40 -1.99712 0.999269
41 -1.99711 0.999264
42 -1.99696 0.999226
43 -1.99737 0.999333
44 -1.99717 0.999281
45 -1.99708 0.999259
46 -1.99724 0.9993
47 -1.99713 0.999269
48 -1.99714 0.999271
49 -1.9972 0.999283
50 -1.99744 0.999349
51 -1.99697 0.99923
52 -1.99713 0.999269
53 -1.9971 0.999263
54 -1.9973 0.999308
55 -1.99714 0.999271
56 -1.99725 0.999298
57 -1.99721 0.999289
58 -1.99713 0.999268
59 -1.9972 0.999288
60 -1.99712 0.999265
61 -1.9973 0.999312
62 -1.99706 0.99925
63 -1.99721 0.999287
64 -1.99724 0.999296
65 -1.99735 0.999323
66 -1.99721 0.999284
67 -1.99715 0.999272
68 -1.99713 0.999268
69 -1.99701 0.999238
70 -1.99706 0.99925
71 -1.99702 0.999237
72 -1.99706 0.999251
73 -1.99709 0.999258
74 -1.99735 0.999326
75 -1.99727 0.999302
76 -1.99705 0.999248
77 -1.99723 0.999298
78 -1.99719 0.999287
79 -1.99715 0.999271
80 -1.9971 0.999261
81 -1.99702 0.999236
82 -1.99722 0.999293
83 -1.9971 0.99926
84 -1.9972 0.999289
85 -1.99705 0.999247
86 -1.99717 0.999278
87 -1.99706 0.999251
88 -1.9971 0.999262
89 -1.9971 0.999262
90 -1.99713 0.999267
91 -1.99718 0.999282
92 -1.99713 0.999268
93 -1.99737 0.999331
94 -1.99719 0.999284
95 -1.99736 0.999333
96 -1.99721 0.99929
97 -1.99711 0.999267
98 -1.99719 0.999285
99 -1.99694 0.999214
100 -1.99706 0.999254
101 -1.99719 0.999285
102 -1.99695 0.999222
103 -1.99723 0.999292
104 -1.99726 0.999298
105 -1.99731 0.999319
106 -1.99729 0.999308
107 -1.99725 0.999298
108 -1.99721 0.999286
109 -1.99719 0.999285
110 -1.99719 0.999283
111 -1.99724 0.999292
112 -1.99731 0.999316
113 -1.9971 0.99926
114 -1.99712 0.999266
115 -1.99717 0.999282
116 -1.99711 0.999265
117 -1.99697 0.999225
118 -1.9971 0.999255
119 -1.99715 0.999273
120 -1.99708 0.999255
121 -1.99708 0.999257
122 -1.99726 0.999298
123 -1.99705 0.99925
124 -1.9971 0.999262
125 -1.99704 0.999246
126 -1.9972 0.999286
127 -1.99696 0.999221
128 -1.99713 0.999265
129 -1.99718 0.999278
130 -1.99701 0.999235
131 -1.99701 0.999239
132 -1.99727 0.999306
133 -1.9973 0.999315
134 -1.99712 0.999266
135 -1.99701 0.999241
136 -1.99688 0.999202
137 -1.99712 0.999268
138 -1.99712 0.999266
139 -1.99708 0.999257
140 -1.99716 0.999277
141 -1.99715 0.999278
142 -1.99722 0.99929
143 -1.99713 0.99927
144 -1.99706 0.999255
145 -1.9973 0.999313
146 -1.99723 0.999292
147 -1.99713 0.999268
148 -1.99722 0.999292
149 -1.99705 0.999249
150 -1.99711 0.999264
151 -1.99708 0.999261
152 -1.99735 0.999326
153 -1.99705 0.999249
154 -1.9972 0.999288
155 -1.9973 0.999315
156 -1.99693 0.999208
157 -1.99716 0.999279
158 -1.99706 0.999253
159 -1.99711 0.999266
160 -1.99724 0.999294
161 -1.99692 0.999217
162 -1.99711 0.999264
163 -1.99718 0.99928
164 -1.99715 0.999274
165 -1.99714 0.999269
166 -1.99707 0.999251
167 -1.99704 0.999246
168 -1.99713 0.999266
169 -1.99714 0.99927
170 -1.99719 0.999289
171 -1.99717 0.999281
172 -1.99718 0.999282
173 -1.99717 0.999281
174 -1.99718 0.999283
175 -1.99704 0.999246
176 -1.99713 0.999268
177 -1.99714 0.999268
178 -1.99713 0.99927
179 -1.99719 0.999284
180 -1.99714 0.999275
181 -1.99722 0.999296
182 -1.99713 0.999271
183 -1.99719 0.999285
184 -1.99712 0.999265
185 -1.99721 0.999288
186 -1.99725 0.999302
187 -1.99722 0.999294
188 -1.99723 0.999299
189 -1.99714 0.999274
190 -1.99724 0.999298
191 -1.99723 0.999295
192 -1.99733 0.999321
193 -1.99728 0.999307
194 -1.99731 0.99932
195 -1.9972 0.999289
196 -1.99695 0.999223
197 -1.9971 0.99926
198 -1.99736 0.999324
199 -1.99724 0.999297
200 -1.9971 0.99926
201 -1.99717 0.999281
202 -1.99719 0.999279
203 -1.99717 0.999278
204 -1.99703 0.999241
205 -1.99702 0.999241
206 -1.99703 0.999245
207 -1.99719 0.999284
208 -1.9971 0.999258
209 -1.99732 0.999316
210 -1.99719 0.999283
211 -1.99719 0.999285
212 -1.99719 0.999284
213 -1.99721 0.99929
214 -1.99708 0.999255
215 -1.9971 0.999259
216 -1.99703 0.999238
217 -1.99723 0.999293
218 -1.99707 0.999252
219 -1.99738 0.999333
220 -1.99715 0.999272
221 -1.99721 0.999289
222 -1.99726 0.999299
223 -1.99721 0.999289
224 -1.99715 0.999276
225 -1.99716 0.999276
226 -1.99713 0.999271
227 -1.99712 0.999265
228 -1.99708 0.999257
229 -1.99713 0.999266
230 -1.99717 0.999282
231 -1.99712 0.999267
232 -1.99712 0.999268
233 -1.99724 0.999296
234 -1.9971 0.99926
235 -1.99708 0.999255
236 -1.99711 0.999265
237 -1.99727 0.999305
238 -1.99721 0.999287
239 -1.99708 0.999256
240 -1.99715 0.999275
241 -1.99709 0.999259
242 -1.9971 0.999262
243 -1.99735 0.999328
244 -1.99719 0.999281
245 -1.99731 0.999314
246 -1.9971 0.999262
247 -1.99721 0.999284
248 -1.99722 0.999295
249 -1.99709 0.999261
250 -1.99719 0.999286
251 -1.99707 0.999254
252 -1.99697 0.999224
253 -1.99718 0.99928
254 -1.9972 0.999289
255 -1.99716 0.999278
256 -1.99731 0.999315
257 -1.99727 0.9993
258 -1.99713 0.99927
259 -1.9974 0.999336
260 -1.99692 0.999213
261 -1.99726 0.999301
262 -1.99704 0.999248
263 -1.99709 0.999257
264 -1.99724 0.999296
265 -1.99702 0.99924
266 -1.99726 0.999303
267 -1.99726 0.999299
268 -1.99701 0.999241
269 -1.99718 0.999283
270 -1.99714 0.999274
271 -1.99721 0.999288
272 -1.99713 0.999268
273 -1.99723 0.999294
274 -1.99739 0.999333
275 -1.99721 0.99929
276 -1.99715 0.999274
277 -1.99704 0.999242
278 -1.99717 0.99928
279 -1.99721 0.999291
280 -1.99712 0.999261
281 -1.99697 0.999228
282 -1.99712 0.999266
