Simulazione modello di Ising2D
# mossa   Energia    Magnetizzazione
1 -1.99716 0.999275
2 -1.99724 0.999296
3 -1.99712 0.999262
4 -1.99719 0.999284
5 -1.99712 0.999265
6 -1.99711 0.999262
7 -1.99716 0.999276
8 -1.99717 0.999279
9 -1.99712 0.999265
10 -1.99717 0.999278
11 -1.99716 0.999274
12 -1.99716 0.999276
13 -1.99713 0.999267
14 -1.99717 0.999276
15 -1.99718 0.99928
16 -1.99725 0.9993
17 -1.99716 0.999276
18 -1.99715 0.999271
19 -1.9972 0.999284
20 -1.99715 0.999273
21 -1.99716 0.999275
22 -1.99714 0.99927
23 -1.99719 0.999281
24 -1.99713 0.999267
25 -1.99719 0.999284
26 -1.99717 0.999278
27 -1.99721 0.999287
28 -1.99716 0.999277
29 -1.99716 0.999276
30 -1.99715 0.999272
31 -1.99709 0.999258
32 -1.99713 0.999268
33 -1.99718 0.99928
34 -1.99714 0.999271
35 -1.99718 0.999281
36 -1.99715 0.999273
37 -1.99718 0.999278
38 -1.9972 0.999287
39 -1.99721 0.999287
40 -1.9972 0.999286
41 -1.9971 0.999258
42 -1.99719 0.999283
43 -1.99716 0.999276
44 -1.99718 0.99928
45 -1.99715 0.999273
46 -1.99714 0.999271
47 -1.99719 0.999283
48 -1.99717 0.999277
49 -1.99716 0.999274
50 -1.99721 0.999287
51 -1.9972 0.999286
52 -1.99716 0.999273
53 -1.99713 0.999266
54 -1.99721 0.99929
55 -1.99719 0.999283
56 -1.99717 0.999278
57 -1.99719 0.999284
58 -1.99714 0.99927
59 -1.99714 0.999272
60 -1.99714 0.99927
61 -1.99716 0.999277
62 -1.99716 0.999274
63 -1.99717 0.999276
64 -1.99721 0.999288
65 -1.99715 0.999273
66 -1.99716 0.999277
67 -1.99711 0.999262
68 -1.99719 0.999282
69 -1.99722 0.999289
70 -1.99714 0.999269
71 -1.99717 0.999279
72 -1.99716 0.999277
73 -1.99715 0.999272
74 -1.99717 0.999277
75 -1.99713 0.999269
76 -1.9972 0.999285
77 -1.99718 0.999281
78 -1.99713 0.999268
79 -1.9972 0.999285
80 -1.99711 0.999261
81 -1.99715 0.999273
82 -1.99715 0.999274
