# Simulazione modello di Ising2D
# mossa   Energia    Magnetizzazione
1 -0.816844 0.000570333
2 -0.817758 0.000553259
3 -0.81649 -0.000365334
4 -0.816882 0.000323297
5 -0.817187 0.000227444
6 -0.817552 -0.000658889
7 -0.817345 0.00187548
8 -0.816744 0.00295607
9 -0.817271 -0.00412063
10 -0.8179 0.0015203
11 -0.816868 -0.00223207
12 -0.817856 0.0012257
13 -0.81743 0.00252363
14 -0.817217 0.00302067
15 -0.817527 0.00148681
16 -0.817116 0.00498204
17 -0.817026 -0.00147381
18 -0.817617 -0.00114363
19 -0.817209 0.00486404
20 -0.81793 -0.000542185
21 -0.816984 0.00155204
22 -0.816715 0.00364433
23 -0.81726 -0.000963036
24 -0.817194 -0.002507
25 -0.817504 0.000307297
26 -0.816927 -0.00380741
27 -0.817439 0.001339
28 -0.817404 0.000706222
29 -0.817123 -0.00152456
30 -0.817001 0.000159703
31 -0.817317 -0.000834111
32 -0.816995 0.000390296
33 -0.818266 0.00449559
34 -0.817714 0.000911333
35 -0.817293 -0.00146455
36 -0.816919 -0.000947075
37 -0.817569 0.000510407
38 -0.817569 0.000253444
39 -0.817064 -0.000703408
40 -0.816674 -0.00119507
41 -0.817344 0.00125681
42 -0.818168 -0.00236481
43 -0.817303 -0.000722778
44 -0.817402 0.00307674
45 -0.817786 1.62943e-06
46 -0.81634 0.000105444
47 -0.817092 0.00295785
48 -0.816673 1.92599e-05
49 -0.81617 -0.00067774
50 -0.817242 -0.003292
51 -0.817255 0.00257066
52 -0.818759 0.00107722
53 -0.816998 -0.00351252
54 -0.818411 0.00170433
55 -0.816914 0.00240822
56 -0.816736 0.0040473
57 -0.817075 0.000213518
58 -0.817373 0.00113
59 -0.818254 -0.00134389
60 -0.817284 -0.000347258
61 -0.817338 -0.00304793
62 -0.817227 0.00169167
63 -0.816216 -0.00678011
64 -0.817645 -0.00140707
65 -0.818444 0.000739222
66 -0.817255 0.00073463
67 -0.816093 -5.28524e-05
68 -0.818286 0.000172259
69 -0.817189 0.000365926
70 -0.817836 0.00163763
71 -0.816968 0.00285104
72 -0.817486 0.000664888
73 -0.817139 0.000465334
74 -0.816933 -0.000550445
75 -0.817725 -0.000260556
76 -0.817464 0.00352392
77 -0.817058 -0.000143518
78 -0.81644 0.00372285
79 -0.817997 0.00268082
80 -0.817847 0.00217585
81 -0.817554 -0.00114378
82 -0.817338 0.000639593
83 -0.817447 0.00409167
84 -0.817513 -0.00371918
85 -0.817935 -9.33365e-06
86 -0.817446 0.000532186
87 -0.817455 0.000339889
88 -0.81779 0.0047463
89 -0.817819 -0.00197096
90 -0.816622 -0.00230304
91 -0.817211 -0.00188044
92 -0.817145 -0.00110233
93 -0.817088 0.00353222
94 -0.816905 0.00016111
95 -0.817165 -0.0020863
96 -0.817398 0.000376593
97 -0.817259 -0.00165704
98 -0.817808 -0.00232378
99 -0.817299 0.00035137
100 -0.817116 0.000144815
101 -0.817521 0.000136888
102 -0.816241 -0.00284704
103 -0.818355 -0.00107759
104 -0.817803 -0.000394964
105 -0.817051 0.000719148
106 -0.817467 0.000888407
107 -0.81751 -0.000579852
108 -0.817131 0.000350482
109 -0.817656 0.000878333
110 -0.81846 -0.00304204
111 -0.816951 0.00329837
112 -0.816746 0.00123633
113 -0.817494 0.00117244
114 -0.818623 -0.00373359
115 -0.816976 0.001057
116 -0.817114 -0.00101652
117 -0.818111 -0.000926333
118 -0.818582 -0.00482678
119 -0.816709 -0.00197022
120 -0.817024 0.000787482
121 -0.815889 -0.00221952
122 -0.817277 -0.000207148
123 -0.817523 0.00189489
124 -0.81696 -0.000405851
125 -0.816748 -0.00345863
126 -0.816764 -0.000126593
127 -0.816973 -0.000889851
128 -0.817793 -0.000540037
129 -0.817621 0.00196707
130 -0.81758 0.000287518
131 -0.816932 0.000159925
132 -0.818281 0.00112133
133 -0.818576 -0.00150252
134 -0.816559 -0.00256637
135 -0.817746 0.000593519
136 -0.818037 -0.00190463
137 -0.817811 -0.0055977
138 -0.81739 0.00301256
139 -0.817208 -0.00207337
140 -0.817589 -5.19255e-05
141 -0.817686 0.000843408
142 -0.817442 0.000120963
143 -0.818573 -0.000385963
144 -0.81791 0.000585965
145 -0.816886 -0.00245448
146 -0.817093 0.000763037
147 -0.817178 0.00257052
148 -0.81701 -5.74074e-05
149 -0.817435 0.00165285
150 -0.817258 0.000844445
151 -0.816671 0.00559941
152 -0.817655 0.000309222
153 -0.816786 0.00144593
154 -0.816618 -0.00250937
155 -0.816306 -0.000952815
156 -0.817151 0.00176748
157 -0.817652 -0.00325215
158 -0.81712 -0.00184581
159 -0.817179 0.000262334
160 -0.817552 -0.00238237
161 -0.817144 0.00177004
162 -0.816738 0.000930888
163 -0.817439 -0.000247186
164 -0.817003 -0.000180074
165 -0.816827 0.000378519
166 -0.816734 0.00305233
167 -0.817521 -0.00213467
168 -0.816931 -0.0012847
169 -0.817453 -0.000538334
170 -0.817099 0.000817185
171 -0.816639 0.00100878
172 -0.816333 -0.00182218
173 -0.816835 -0.00209996
174 -0.817021 -0.000367036
175 -0.817003 -0.000184555
176 -0.817488 0.00226548
