# Simulazione modello di Ising 1D
# Mossa 	 Energia 	 Magnetizzazione 	 Calore specifico 	 Suscettività 	 Dimensione cluster
1     -1.928150534629822      0.9796063303947449     0.2449999749660492     0.06599999964237213     38767.2890625
2     -1.928323984146118      0.9796528220176697     0.1699999868869781     0.05200000107288361     38768.87890625
3     -1.928174614906311      0.9795560836791992     0.304999977350235     0.05999999865889549     38804.58984375
4     -1.928434133529663      0.97967529296875     0.2849999666213989     0.03200000151991844     38663.03125
5     -1.927871346473694      0.9794982671737671     0.304999977350235     0.02800000086426735     38607.44140625
6     -1.928019523620605      0.9795555472373962     0.2599999904632568     0.06199999898672104     38713.4296875
7     -1.928028106689453      0.9795640707015991     0.254999965429306     0.05000000074505806     38593.015625
8     -1.92831289768219      0.9796578884124756     0.189999982714653     0.0260000005364418     38638.57421875
9     -1.928429245948792      0.9796972870826721     0.2699999809265137     0.08399999886751175     38689.15234375
10     -1.928194284439087      0.9796113967895508     0.2799999713897705     0.01799999922513962     38545.703125
11     -1.92842423915863      0.9797096848487854     0.2199999690055847     0.01999999955296516     38690.515625
12     -1.928164839744568      0.9795985221862793     0.2149999737739563     0.03400000184774399     38621.54296875
13     -1.928303956985474      0.9796457886695862     0.324999988079071     0.09000000357627869     38832.87890625
14     -1.928072810173035      0.9795584082603455     0.2849999666213989     0.006000000052154064     38661.640625
15     -1.928035140037537      0.9795634746551514     0.2799999713897705     0.06400000303983688     38488.4609375
16     -1.928385496139526      0.9796649217605591     0.2749999761581421     0.05200000107288361     38571.703125
17     -1.928462505340576      0.9796894788742065     0.2749999761581421     0.04800000041723251     38597.5234375
18     -1.928219676017761      0.9796567559242249     0.2949999868869781     0.03599999845027924     38507.22265625
19     -1.928316593170166      0.9796505570411682     0.324999988079071     0.05999999865889549     38584.8671875
20     -1.928515434265137      0.9797178506851196     0.2599999904632568     0.02199999988079071     38637.87890625
21     -1.927965998649597      0.9795436263084412     0.2199999690055847     0.03200000151991844     38504.6640625
22     -1.928174018859863      0.9796069264411926     0.2149999737739563     0.04600000008940697     38557.37890625
23     -1.927906036376953      0.9795385003089905     0.2699999809265137     0.03400000184774399     38711.61328125
24     -1.928080439567566      0.9795544743537903     0.1499999910593033     0.01999999955296516     38765.93359375
25     -1.928192377090454      0.9795900583267212     0.2249999791383743     0.02800000086426735     38842.6484375
26     -1.928783178329468      0.9798029065132141     0.1849999874830246     0.05999999865889549     38672.8828125
27     -1.928352355957031      0.9796240925788879     0.2399999797344208     0.01600000075995922     38595.859375
28     -1.927959203720093      0.9795088768005371     0.2749999761581421     0.03200000151991844     38639.8828125
29     -1.928572058677673      0.9797120094299316     0.2999999821186066     0.04199999943375587     38713.87109375
30     -1.928482055664062      0.9796947240829468     0.3349999785423279     0.07999999821186066     38630.46484375
31     -1.927967190742493      0.9795489311218262     0.2249999791383743     0.01400000043213367     38503.6953125
32     -1.928363442420959      0.9796249866485596     0.2699999809265137     0.04399999976158142     38454.76171875
33     -1.928340792655945      0.9796788096427917     0.2749999761581421     0.01999999955296516     38625.890625
34     -1.92868959903717      0.9797540307044983     0.2949999868869781     0.02400000020861626     38495.9609375
35     -1.928278088569641      0.9796088933944702     0.3149999678134918     0.0260000005364418     38479.57421875
36     -1.928199768066406      0.9796252846717834     0.2399999797344208     0.01600000075995922     38821.12890625
37     -1.928695678710938      0.9797294735908508     0.2799999713897705     0.04800000041723251     38600.73828125
38     -1.928038716316223      0.979564368724823     0.3449999690055847     0.03799999877810478     38685.24609375
39     -1.928585886955261      0.9797192215919495     0.2649999856948853     0.07800000160932541     38821.3828125
40     -1.928191065788269      0.9795769453048706     0.2399999797344208     0.03200000151991844     38793.62109375
41     -1.928126811981201      0.9795692563056946     0.2699999809265137     0.03999999910593033     38504.9296875
42     -1.927957057952881      0.9795136451721191     0.1199999898672104     0.02199999988079071     38541.87109375
43     -1.928393959999084      0.9796867370605469     0.3299999833106995     0.006000000052154064     38508.16796875
44     -1.928324460983276      0.9796695113182068     0.2749999761581421     0.02800000086426735     38701.46875
45     -1.928115248680115      0.9795963764190674     0.2449999749660492     0.05000000074505806     38871.671875
46     -1.928127288818359      0.9795929789543152     0.1749999821186066     0.01999999955296516     38712.23046875
47     -1.928766012191772      0.9798117876052856     0.2999999821186066     0.03200000151991844     38563.17578125
48     -1.927859783172607      0.9794999957084656     0.3099999725818634     0.04800000041723251     38763.5546875
49     -1.928350210189819      0.9796379804611206     0.2599999904632568     0.07400000095367432     38765.85546875
50     -1.928466796875      0.9797054529190063     0.2249999791383743     0.04600000008940697     38807.85546875
51     -1.928088903427124      0.9795739054679871     0.2399999797344208     0.03200000151991844     38726.94140625
52     -1.928444147109985      0.9797011017799377     0.2849999666213989     0.05999999865889549     38821.421875
53     -1.927937150001526      0.9795270562171936     0.2449999749660492     0.01400000043213367     38608.078125
54     -1.928321480751038      0.9796540141105652     0.2699999809265137     0.05000000074505806     38546.9765625
55     -1.928140044212341      0.9795932769775391     0.2149999737739563     0.05000000074505806     38687.86328125
56     -1.927963614463806      0.9795181751251221     0.2099999785423279     0.05200000107288361     38516.6171875
57     -1.928385138511658      0.9796674847602844     0.254999965429306     0.05799999833106995     38558.0234375
58     -1.928202152252197      0.9795618057250977     0.2599999904632568     0.04399999976158142     38620.65625
59     -1.928232073783875      0.9796152114868164     0.2899999618530273     0.05400000140070915     38832.44921875
60     -1.928269505500793      0.9796634912490845     0.3299999833106995     0.02999999932944775     38611.76171875
61     -1.92794394493103      0.979530394077301     0.2749999761581421     0.0260000005364418     38475.81640625
62     -1.927775979042053      0.979447066783905     0.3599999845027924     0.02800000086426735     38540.56640625
63     -1.928117394447327      0.9795893430709839     0.1849999874830246     0.06199999898672104     38595.37890625
64     -1.927901148796082      0.9795374274253845     0.1949999928474426     0.05999999865889549     38686.5390625
65     -1.92807924747467      0.979544460773468     0.3399999737739563     0.05000000074505806     38673.734375
66     -1.92802107334137      0.979548454284668     0.2199999690055847     0.05400000140070915     38581.7578125
67     -1.928076028823853      0.9795840978622437     0.2249999791383743     0.03999999910593033     38663.6484375
68     -1.928125143051147      0.979584276676178     0.3099999725818634     0.09000000357627869     38714.921875
69     -1.928156852722168      0.9796047806739807     0.2599999904632568     0.06800000369548798     38712.90234375
70     -1.928162097930908      0.9795888662338257     0.2749999761581421     0.06800000369548798     38559.51953125
71     -1.928533434867859      0.9797054529190063     0.2999999821186066     0.04800000041723251     38784.859375
72     -1.928137540817261      0.979591965675354     0.2499999701976776     0.03599999845027924     38728.37109375
73     -1.928589105606079      0.9797066450119019     0.2449999749660492     0.03999999910593033     38467.94921875
74     -1.927937746047974      0.9795660972595215     0.254999965429306     0.03400000184774399     38439.87109375
75     -1.92810332775116      0.9795873165130615     0.2199999690055847     0.02800000086426735     38739.8125
76     -1.928152918815613      0.9795848727226257     0.3099999725818634     0.04600000008940697     38868.453125
77     -1.928286671638489      0.9796532988548279     0.3149999678134918     0.04800000041723251     38663.8828125
78     -1.928470492362976      0.9796778559684753     0.2599999904632568     0.03999999910593033     38703.76171875
79     -1.928264260292053      0.9795920848846436     0.2799999713897705     0.04600000008940697     38711.6796875
80     -1.928256392478943      0.9796211123466492     0.1749999821186066     0.06199999898672104     38598.54296875
81     -1.928536176681519      0.9796728491783142     0.2049999684095383     0.04800000041723251     38635.77734375
82     -1.928236126899719      0.9796478748321533     0.2599999904632568     0.02400000020861626     38819.890625
83     -1.927911877632141      0.9795500040054321     0.2799999713897705     0.02199999988079071     38554.2578125
