***************************************
*           Modello XY                *
*      Simulazione Monte Carlo        *
***************************************

Parametri simulativi:

Lato reticolo:           300
Temperatura:             0.5
Beta:                    2
J:                       1
Delta:                   1.1
Numero blocchi           10
Lunghezza simulazione:   50000
Fase di termalizzazione: 1000



Numero mossa   Energia    Magnetizzazione X    Magnetizzazione Y    Acc. rate
1   -1.56e+05  878   7.19e+04   2477
2   -1.56e+05  950   7.19e+04   49
3   -1.56e+05  933   7.19e+04   50
4   -1.56e+05  938   7.2e+04   49
5   -1.56e+05  1.09e+03   7.2e+04   50
6   -1.56e+05  999   7.2e+04   50
7   -1.56e+05  1.18e+03   7.2e+04   50
8   -1.56e+05  1.22e+03   7.2e+04   50
9   -1.56e+05  1.25e+03   7.21e+04   50
10   -1.56e+05  1.11e+03   7.21e+04   49
11   -1.56e+05  1.19e+03   7.21e+04   50
12   -1.56e+05  1.17e+03   7.21e+04   50
13   -1.56e+05  1.2e+03   7.21e+04   50
14   -1.56e+05  1.13e+03   7.22e+04   50
15   -1.56e+05  900   7.22e+04   50
16   -1.56e+05  859   7.22e+04   50
17   -1.56e+05  688   7.23e+04   50
18   -1.56e+05  776   7.22e+04   50
19   -1.56e+05  672   7.23e+04   50
20   -1.56e+05  652   7.22e+04   50
21   -1.56e+05  668   7.22e+04   50
22   -1.56e+05  725   7.22e+04   50
23   -1.56e+05  737   7.22e+04   50
24   -1.56e+05  858   7.22e+04   50
25   -1.56e+05  801   7.22e+04   49
26   -1.56e+05  905   7.22e+04   50
27   -1.56e+05  848   7.22e+04   50
28   -1.56e+05  845   7.22e+04   50
29   -1.56e+05  917   7.22e+04   50
30   -1.56e+05  835   7.22e+04   50
31   -1.56e+05  673   7.22e+04   50
32   -1.56e+05  695   7.22e+04   50
33   -1.55e+05  754   7.22e+04   50
34   -1.55e+05  818   7.22e+04   50
35   -1.56e+05  836   7.2e+04   50
36   -1.56e+05  754   7.2e+04   50
37   -1.56e+05  690   7.21e+04   50
38   -1.56e+05  769   7.21e+04   50
39   -1.56e+05  886   7.21e+04   50
40   -1.56e+05  882   7.21e+04   50
41   -1.56e+05  966   7.22e+04   50
42   -1.56e+05  876   7.21e+04   49
43   -1.56e+05  1.09e+03   7.21e+04   50
44   -1.56e+05  1.12e+03   7.21e+04   50
45   -1.56e+05  1.18e+03   7.22e+04   50
46   -1.56e+05  1.26e+03   7.22e+04   49
47   -1.56e+05  1.3e+03   7.22e+04   50
48   -1.56e+05  1.28e+03   7.22e+04   50
49   -1.56e+05  1.23e+03   7.23e+04   50
50   -1.56e+05  1.22e+03   7.22e+04   50
51   -1.56e+05  1.27e+03   7.22e+04   50
52   -1.56e+05  1.36e+03   7.21e+04   50
53   -1.55e+05  1.48e+03   7.21e+04   50
54   -1.55e+05  1.43e+03   7.22e+04   49
55   -1.55e+05  1.37e+03   7.21e+04   50
56   -1.56e+05  1.21e+03   7.22e+04   50
57   -1.56e+05  1.22e+03   7.21e+04   50
58   -1.56e+05  1.11e+03   7.22e+04   50
59   -1.56e+05  1.24e+03   7.21e+04   50
60   -1.56e+05  1.14e+03   7.22e+04   50
61   -1.56e+05  1.09e+03   7.22e+04   50
62   -1.56e+05  1.13e+03   7.22e+04   49
63   -1.56e+05  1.09e+03   7.22e+04   50
64   -1.56e+05  1.09e+03   7.23e+04   50
65   -1.56e+05  1.08e+03   7.23e+04   50
66   -1.56e+05  1.03e+03   7.23e+04   50
67   -1.56e+05  955   7.23e+04   50
68   -1.56e+05  1.02e+03   7.23e+04   50
69   -1.56e+05  1.08e+03   7.23e+04   50
70   -1.56e+05  1.05e+03   7.23e+04   49
71   -1.56e+05  1.02e+03   7.24e+04   50
72   -1.56e+05  937   7.24e+04   50
73   -1.55e+05  948   7.24e+04   50
74   -1.56e+05  934   7.25e+04   50
75   -1.56e+05  857   7.26e+04   49
76   -1.56e+05  901   7.25e+04   50
77   -1.56e+05  866   7.25e+04   49
78   -1.56e+05  925   7.24e+04   50
79   -1.56e+05  964   7.24e+04   49
80   -1.56e+05  1.06e+03   7.24e+04   50
81   -1.56e+05  888   7.24e+04   50
82   -1.55e+05  901   7.23e+04   50
83   -1.55e+05  881   7.22e+04   50
84   -1.56e+05  928   7.23e+04   50
85   -1.56e+05  913   7.23e+04   50
86   -1.56e+05  790   7.23e+04   50
87   -1.56e+05  890   7.23e+04   50
88   -1.56e+05  698   7.23e+04   50
89   -1.56e+05  697   7.23e+04   50
90   -1.55e+05  684   7.23e+04   50
91   -1.56e+05  640   7.23e+04   50
92   -1.56e+05  595   7.23e+04   50
93   -1.56e+05  545   7.23e+04   49
94   -1.56e+05  500   7.23e+04   50
95   -1.56e+05  723   7.23e+04   50
96   -1.56e+05  588   7.23e+04   50
97   -1.56e+05  663   7.24e+04   50
98   -1.56e+05  761   7.23e+04   50
99   -1.56e+05  610   7.22e+04   49
100   -1.56e+05  560   7.23e+04   50
101   -1.56e+05  436   7.22e+04   50
102   -1.56e+05  531   7.22e+04   50
103   -1.56e+05  577   7.22e+04   50
104   -1.56e+05  702   7.22e+04   50
105   -1.56e+05  787   7.22e+04   49
106   -1.56e+05  718   7.22e+04   49
107   -1.56e+05  598   7.22e+04   50
108   -1.56e+05  585   7.21e+04   50
109   -1.56e+05  533   7.21e+04   49
110   -1.56e+05  335   7.21e+04   50
111   -1.56e+05  519   7.21e+04   50
112   -1.56e+05  494   7.2e+04   50
113   -1.56e+05  573   7.22e+04   50
114   -1.56e+05  560   7.21e+04   50
115   -1.56e+05  643   7.22e+04   50
116   -1.56e+05  778   7.22e+04   50
117   -1.56e+05  716   7.22e+04   49
118   -1.56e+05  594   7.22e+04   50
119   -1.56e+05  755   7.23e+04   50
