***************************************
*           Modello XY                *
*      Simulazione Monte Carlo        *
***************************************

Parametri simulativi:

Lato reticolo:           100
Temperatura:             1
Beta:                    1
J:                       1
Delta:                   1.7
Numero blocchi           10
Lunghezza simulazione:   100000
Fase di termalizzazione: 1000



Numero mossa   Energia    Magnetizzazione X    Magnetizzazione Y    Acc. rate
1   -1.34e+04  -1.28e+03   5.24e+03   51769
2   -1.34e+04  -1.21e+03   5.21e+03   51
3   -1.33e+04  -1.26e+03   5.15e+03   51
4   -1.34e+04  -1.26e+03   5.22e+03   52
5   -1.34e+04  -1.28e+03   5.25e+03   51
6   -1.33e+04  -1.3e+03   5.21e+03   51
7   -1.32e+04  -1.23e+03   5.13e+03   52
8   -1.32e+04  -1.24e+03   5.07e+03   52
9   -1.32e+04  -1.24e+03   5.1e+03   51
10   -1.32e+04  -1.27e+03   5e+03   51
11   -1.33e+04  -1.31e+03   4.96e+03   51
12   -1.33e+04  -1.29e+03   4.95e+03   51
13   -1.33e+04  -1.33e+03   4.99e+03   51
14   -1.33e+04  -1.34e+03   5.02e+03   52
15   -1.34e+04  -1.37e+03   5.05e+03   51
16   -1.34e+04  -1.4e+03   5.05e+03   51
17   -1.34e+04  -1.4e+03   5.01e+03   51
18   -1.33e+04  -1.42e+03   4.98e+03   51
19   -1.34e+04  -1.46e+03   5.01e+03   52
20   -1.33e+04  -1.44e+03   4.98e+03   51
21   -1.33e+04  -1.44e+03   4.94e+03   51
22   -1.34e+04  -1.42e+03   4.96e+03   51
23   -1.34e+04  -1.42e+03   5e+03   50
24   -1.34e+04  -1.44e+03   4.99e+03   52
25   -1.33e+04  -1.46e+03   5e+03   51
26   -1.33e+04  -1.44e+03   5.05e+03   53
27   -1.33e+04  -1.44e+03   5.08e+03   50
28   -1.34e+04  -1.43e+03   5.04e+03   51
29   -1.33e+04  -1.4e+03   5.04e+03   50
30   -1.33e+04  -1.45e+03   5.03e+03   51
31   -1.33e+04  -1.42e+03   5.03e+03   51
32   -1.32e+04  -1.41e+03   4.95e+03   51
33   -1.32e+04  -1.48e+03   4.88e+03   51
34   -1.33e+04  -1.49e+03   4.96e+03   51
35   -1.33e+04  -1.5e+03   4.96e+03   51
36   -1.33e+04  -1.52e+03   4.99e+03   51
37   -1.35e+04  -1.48e+03   5e+03   51
38   -1.34e+04  -1.49e+03   4.96e+03   51
39   -1.35e+04  -1.48e+03   5.04e+03   51
40   -1.34e+04  -1.48e+03   5.05e+03   51
41   -1.34e+04  -1.49e+03   5.03e+03   50
42   -1.33e+04  -1.54e+03   5.03e+03   51
43   -1.34e+04  -1.48e+03   5.01e+03   51
44   -1.35e+04  -1.49e+03   5.01e+03   52
45   -1.34e+04  -1.46e+03   4.91e+03   52
46   -1.33e+04  -1.46e+03   4.9e+03   50
47   -1.34e+04  -1.49e+03   4.91e+03   51
48   -1.34e+04  -1.54e+03   4.91e+03   50
49   -1.35e+04  -1.52e+03   4.95e+03   51
50   -1.34e+04  -1.57e+03   4.97e+03   51
51   -1.34e+04  -1.51e+03   4.98e+03   51
52   -1.34e+04  -1.53e+03   5.01e+03   51
53   -1.34e+04  -1.5e+03   5.01e+03   52
54   -1.34e+04  -1.49e+03   5.04e+03   51
55   -1.34e+04  -1.51e+03   5.07e+03   51
56   -1.34e+04  -1.48e+03   5.01e+03   52
57   -1.33e+04  -1.46e+03   5.02e+03   51
58   -1.33e+04  -1.46e+03   5.03e+03   52
59   -1.33e+04  -1.43e+03   5.08e+03   51
60   -1.34e+04  -1.44e+03   5.11e+03   50
61   -1.33e+04  -1.48e+03   5.06e+03   51
62   -1.33e+04  -1.48e+03   5.06e+03   52
63   -1.33e+04  -1.5e+03   5.07e+03   51
64   -1.32e+04  -1.49e+03   5.09e+03   51
