***************************************
*           Modello XY                *
*      Simulazione Monte Carlo        *
***************************************

Parametri simulativi:

Lato reticolo:           400
Temperatura:             0.25
Beta:                    4
J:                       1
Delta:                   0.8
Numero blocchi           1
Lunghezza simulazione:   1000
Fase di termalizzazione: -1



Numero mossa   Energia    Magnetizzazione X    Magnetizzazione Y    Acc. rate
1   -3.14e+05  -19   1.58e+05   41
2   -3.09e+05  -24   1.57e+05   44
3   -3.07e+05  -116   1.56e+05   45
4   -3.05e+05  -163   1.55e+05   46
5   -3.03e+05  -75   1.54e+05   46
6   -3.03e+05  30.9   1.54e+05   47
7   -3.02e+05  103   1.53e+05   47
8   -3.01e+05  191   1.53e+05   47
9   -3.01e+05  116   1.53e+05   47
10   -3.01e+05  73.9   1.53e+05   47
11   -3.01e+05  -91.1   1.52e+05   48
12   -3e+05  -191   1.52e+05   47
13   -3e+05  -222   1.52e+05   47
14   -3e+05  -190   1.52e+05   47
15   -3e+05  -184   1.52e+05   47
16   -3e+05  -321   1.52e+05   47
17   -3e+05  -385   1.52e+05   47
18   -3e+05  -394   1.51e+05   48
19   -3e+05  -305   1.51e+05   47
20   -3e+05  -357   1.51e+05   47
21   -3e+05  -293   1.51e+05   48
22   -3e+05  -356   1.51e+05   47
23   -3e+05  -317   1.51e+05   47
24   -3e+05  -545   1.51e+05   48
25   -3e+05  -515   1.51e+05   47
26   -3e+05  -549   1.51e+05   48
27   -3e+05  -481   1.51e+05   47
28   -3e+05  -420   1.51e+05   48
29   -3e+05  -408   1.5e+05   48
30   -3e+05  -626   1.5e+05   47
31   -3e+05  -696   1.5e+05   48
32   -3e+05  -787   1.5e+05   47
33   -2.99e+05  -907   1.5e+05   47
34   -2.99e+05  -959   1.5e+05   48
35   -2.99e+05  -1e+03   1.5e+05   48
36   -2.99e+05  -901   1.5e+05   47
37   -3e+05  -926   1.5e+05   48
38   -3e+05  -881   1.5e+05   47
39   -3e+05  -1e+03   1.5e+05   47
40   -3e+05  -1.12e+03   1.5e+05   47
41   -3e+05  -1.07e+03   1.5e+05   47
42   -2.99e+05  -1.05e+03   1.5e+05   47
43   -2.99e+05  -1.04e+03   1.5e+05   48
44   -3e+05  -1.07e+03   1.5e+05   48
45   -3e+05  -1.14e+03   1.5e+05   47
46   -2.99e+05  -1.1e+03   1.5e+05   47
47   -2.99e+05  -1.16e+03   1.5e+05   47
48   -2.99e+05  -1.3e+03   1.5e+05   47
49   -2.99e+05  -1.18e+03   1.5e+05   48
50   -2.99e+05  -1.23e+03   1.49e+05   47
51   -2.99e+05  -1.28e+03   1.49e+05   48
52   -2.99e+05  -1.16e+03   1.49e+05   47
53   -2.99e+05  -1.16e+03   1.49e+05   48
54   -2.99e+05  -1.01e+03   1.49e+05   47
55   -2.99e+05  -1.09e+03   1.49e+05   48
56   -2.99e+05  -1e+03   1.49e+05   47
57   -2.99e+05  -1.09e+03   1.49e+05   48
58   -2.99e+05  -1.13e+03   1.49e+05   48
59   -2.99e+05  -1.28e+03   1.49e+05   48
60   -2.99e+05  -1.46e+03   1.49e+05   47
61   -2.99e+05  -1.46e+03   1.49e+05   48
62   -2.99e+05  -1.4e+03   1.49e+05   47
63   -2.99e+05  -1.45e+03   1.49e+05   47
64   -2.99e+05  -1.41e+03   1.49e+05   47
65   -2.99e+05  -1.4e+03   1.49e+05   47
66   -2.99e+05  -1.23e+03   1.49e+05   47
67   -2.99e+05  -1.31e+03   1.49e+05   47
68   -2.99e+05  -1.19e+03   1.49e+05   47
69   -2.99e+05  -1.15e+03   1.49e+05   48
70   -2.99e+05  -1.22e+03   1.49e+05   47
71   -2.99e+05  -1.31e+03   1.49e+05   48
72   -2.99e+05  -1.33e+03   1.49e+05   48
73   -3e+05  -1.41e+03   1.49e+05   47
74   -3e+05  -1.36e+03   1.49e+05   48
75   -2.99e+05  -1.34e+03   1.49e+05   47
76   -2.99e+05  -1.43e+03   1.49e+05   47
77   -2.99e+05  -1.48e+03   1.49e+05   47
78   -2.99e+05  -1.51e+03   1.49e+05   48
79   -2.99e+05  -1.56e+03   1.49e+05   47
80   -2.99e+05  -1.53e+03   1.49e+05   47
81   -2.99e+05  -1.55e+03   1.49e+05   47
82   -2.99e+05  -1.51e+03   1.49e+05   48
83   -2.99e+05  -1.45e+03   1.49e+05   48
84   -2.99e+05  -1.52e+03   1.49e+05   48
85   -3e+05  -1.53e+03   1.49e+05   47
86   -2.99e+05  -1.57e+03   1.49e+05   48
87   -2.99e+05  -1.61e+03   1.49e+05   47
88   -2.99e+05  -1.67e+03   1.49e+05   47
89   -2.99e+05  -1.62e+03   1.49e+05   48
90   -2.99e+05  -1.59e+03   1.49e+05   48
91   -2.99e+05  -1.62e+03   1.49e+05   47
92   -2.99e+05  -1.71e+03   1.49e+05   47
93   -2.99e+05  -1.66e+03   1.49e+05   47
94   -2.99e+05  -1.58e+03   1.49e+05   47
95   -2.99e+05  -1.65e+03   1.48e+05   48
96   -2.99e+05  -1.68e+03   1.48e+05   47
97   -2.99e+05  -1.5e+03   1.48e+05   47
98   -2.99e+05  -1.45e+03   1.48e+05   47
99   -2.99e+05  -1.47e+03   1.48e+05   47
100   -2.99e+05  -1.4e+03   1.48e+05   48
101   -2.99e+05  -1.34e+03   1.48e+05   47
102   -2.99e+05  -1.36e+03   1.48e+05   48
103   -2.99e+05  -1.36e+03   1.48e+05   47
104   -2.99e+05  -1.45e+03   1.48e+05   48
105   -2.99e+05  -1.44e+03   1.48e+05   48
106   -2.99e+05  -1.23e+03   1.48e+05   47
107   -2.99e+05  -1.14e+03   1.48e+05   47
108   -2.99e+05  -931   1.48e+05   47
109   -2.99e+05  -776   1.48e+05   48
110   -2.99e+05  -881   1.48e+05   48
111   -2.99e+05  -803   1.48e+05   47
112   -2.99e+05  -796   1.48e+05   47
113   -2.99e+05  -729   1.48e+05   48
114   -2.99e+05  -544   1.48e+05   47
115   -2.99e+05  -442   1.48e+05   47
116   -2.99e+05  -384   1.48e+05   47
117   -2.99e+05  -304   1.48e+05   47
118   -2.99e+05  -335   1.48e+05   47
119   -2.99e+05  -404   1.48e+05   48
120   -2.99e+05  -549   1.48e+05   48
121   -3e+05  -566   1.48e+05   47
122   -2.99e+05  -799   1.48e+05   47
123   -2.99e+05  -979   1.48e+05   47
124   -2.99e+05  -998   1.48e+05   48
125   -2.99e+05  -915   1.48e+05   47
126   -2.99e+05  -1.02e+03   1.48e+05   47
127   -2.99e+05  -940   1.48e+05   47
128   -2.99e+05  -1.11e+03   1.48e+05   47
129   -2.99e+05  -993   1.48e+05   47
130   -2.99e+05  -1.11e+03   1.48e+05   48
131   -2.99e+05  -958   1.48e+05   47
132   -2.99e+05  -1.01e+03   1.48e+05   47
133   -2.99e+05  -1.11e+03   1.48e+05   48
134   -2.99e+05  -1.11e+03   1.48e+05   48
135   -2.99e+05  -1.15e+03   1.48e+05   47
136   -2.99e+05  -1.24e+03   1.48e+05   48
137   -2.99e+05  -1.15e+03   1.48e+05   47
138   -2.99e+05  -1.03e+03   1.48e+05   47
139   -2.99e+05  -931   1.48e+05   47
140   -2.99e+05  -954   1.48e+05   48
141   -2.99e+05  -1.07e+03   1.48e+05   47
142   -2.99e+05  -1.13e+03   1.48e+05   47
143   -2.99e+05  -1.14e+03   1.48e+05   47
144   -2.99e+05  -946   1.48e+05   48
145   -2.99e+05  -842   1.48e+05   47
146   -2.99e+05  -739   1.48e+05   47
147   -2.99e+05  -813   1.48e+05   47
148   -2.99e+05  -746   1.48e+05   48
149   -3e+05  -769   1.48e+05   47
150   -2.99e+05  -590   1.48e+05   48
151   -2.99e+05  -634   1.48e+05   47
152   -2.99e+05  -569   1.48e+05   48
153   -2.99e+05  -734   1.48e+05   47
154   -2.99e+05  -735   1.48e+05   47
155   -2.99e+05  -606   1.48e+05   47
156   -2.99e+05  -631   1.48e+05   47
157   -2.99e+05  -685   1.48e+05   48
158   -2.99e+05  -759   1.48e+05   47
159   -2.99e+05  -767   1.48e+05   47
160   -2.99e+05  -699   1.48e+05   47
161   -2.99e+05  -670   1.48e+05   48
162   -2.99e+05  -776   1.48e+05   47
163   -2.99e+05  -550   1.48e+05   48
164   -2.99e+05  -482   1.48e+05   48
165   -3e+05  -658   1.48e+05   48
166   -2.99e+05  -657   1.48e+05   48
167   -2.99e+05  -641   1.48e+05   48
168   -2.99e+05  -651   1.48e+05   48
169   -2.99e+05  -610   1.48e+05   47
170   -2.99e+05  -621   1.48e+05   47
171   -2.99e+05  -635   1.48e+05   48
172   -2.99e+05  -670   1.48e+05   48
173   -2.99e+05  -671   1.48e+05   48
174   -2.99e+05  -640   1.48e+05   47
175   -3e+05  -631   1.48e+05   47
176   -3e+05  -655   1.48e+05   47
177   -2.99e+05  -681   1.48e+05   48
178   -3e+05  -676   1.48e+05   47
179   -2.99e+05  -717   1.48e+05   47
180   -2.99e+05  -741   1.48e+05   47
181   -2.99e+05  -877   1.48e+05   47
182   -2.99e+05  -831   1.48e+05   48
183   -2.99e+05  -814   1.48e+05   47
184   -2.99e+05  -811   1.48e+05   47
185   -2.99e+05  -805   1.48e+05   47
186   -2.99e+05  -864   1.48e+05   48
187   -2.99e+05  -853   1.48e+05   48
188   -2.99e+05  -796   1.48e+05   47
189   -2.99e+05  -694   1.47e+05   47
190   -2.99e+05  -835   1.47e+05   47
191   -2.99e+05  -920   1.47e+05   47
192   -2.99e+05  -826   1.47e+05   47
193   -2.99e+05  -773   1.47e+05   47
194   -2.99e+05  -730   1.47e+05   47
195   -2.99e+05  -795   1.47e+05   47
196   -2.99e+05  -843   1.47e+05   47
197   -2.99e+05  -935   1.47e+05   48
198   -2.99e+05  -845   1.47e+05   47
199   -2.99e+05  -852   1.47e+05   47
200   -2.99e+05  -848   1.47e+05   47
201   -2.99e+05  -919   1.47e+05   48
202   -2.99e+05  -762   1.47e+05   48
203   -2.99e+05  -725   1.47e+05   48
204   -2.99e+05  -814   1.47e+05   47
205   -2.99e+05  -908   1.47e+05   47
206   -2.99e+05  -919   1.47e+05   47
207   -2.99e+05  -892   1.47e+05   47
208   -2.99e+05  -843   1.47e+05   48
209   -2.99e+05  -797   1.47e+05   47
210   -2.99e+05  -705   1.47e+05   48
211   -2.99e+05  -742   1.47e+05   47
212   -2.99e+05  -752   1.47e+05   47
213   -2.99e+05  -860   1.47e+05   48
214   -2.99e+05  -882   1.47e+05   47
215   -2.99e+05  -896   1.47e+05   47
216   -2.99e+05  -767   1.47e+05   47
217   -2.99e+05  -827   1.47e+05   47
218   -2.99e+05  -672   1.47e+05   47
219   -2.99e+05  -679   1.47e+05   47
220   -2.99e+05  -660   1.47e+05   48
221   -2.99e+05  -595   1.47e+05   47
222   -2.99e+05  -575   1.47e+05   48
223   -2.99e+05  -607   1.47e+05   47
224   -2.99e+05  -611   1.47e+05   48
225   -2.99e+05  -668   1.47e+05   48
226   -2.99e+05  -572   1.47e+05   48
227   -2.99e+05  -560   1.47e+05   47
228   -2.99e+05  -599   1.47e+05   47
229   -2.99e+05  -565   1.47e+05   47
230   -2.99e+05  -604   1.47e+05   47
231   -2.99e+05  -646   1.47e+05   48
232   -2.99e+05  -568   1.47e+05   48
233   -2.99e+05  -611   1.47e+05   47
234   -2.99e+05  -763   1.47e+05   47
235   -2.99e+05  -617   1.47e+05   47
236   -2.99e+05  -740   1.47e+05   48
237   -2.99e+05  -587   1.47e+05   48
238   -2.99e+05  -625   1.47e+05   48
239   -2.99e+05  -675   1.47e+05   47
240   -2.99e+05  -574   1.47e+05   47
241   -2.99e+05  -647   1.47e+05   48
242   -2.99e+05  -592   1.47e+05   48
243   -2.99e+05  -592   1.47e+05   47
244   -2.99e+05  -627   1.47e+05   47
245   -2.99e+05  -478   1.47e+05   47
246   -3e+05  -467   1.47e+05   47
247   -3e+05  -336   1.47e+05   47
248   -2.99e+05  -330   1.47e+05   47
249   -3e+05  -356   1.47e+05   47
250   -2.99e+05  -363   1.47e+05   47
251   -2.99e+05  -660   1.47e+05   47
