***************************************
*           Modello XY                *
*      Simulazione Monte Carlo        *
***************************************

Parametri simulativi:

Lato reticolo:           500
Temperatura:             0.5
Beta:                    2
J:                       1
Delta:                   1.1
Numero blocchi           10
Lunghezza simulazione:   1
Fase di termalizzazione: 1000



Numero mossa   Energia    Magnetizzazione X    Magnetizzazione Y    Acc. rate
1   -4.79e+05  0.833   2.44e+05   42
2   -4.66e+05  70.9   2.4e+05   45
3   -4.57e+05  258   2.36e+05   47
4   -4.51e+05  171   2.34e+05   48
5   -4.46e+05  336   2.32e+05   48
6   -4.44e+05  574   2.3e+05   49
7   -4.41e+05  436   2.29e+05   49
8   -4.4e+05  665   2.27e+05   49
9   -4.38e+05  431   2.27e+05   49
10   -4.37e+05  381   2.26e+05   49
11   -4.37e+05  438   2.25e+05   49
12   -4.36e+05  574   2.24e+05   50
13   -4.36e+05  713   2.24e+05   49
14   -4.36e+05  701   2.23e+05   49
15   -4.35e+05  552   2.23e+05   50
16   -4.35e+05  385   2.23e+05   50
17   -4.35e+05  426   2.22e+05   49
18   -4.34e+05  336   2.22e+05   50
19   -4.34e+05  113   2.21e+05   50
20   -4.34e+05  45.7   2.21e+05   50
21   -4.34e+05  201   2.21e+05   49
22   -4.34e+05  -162   2.21e+05   50
23   -4.34e+05  -185   2.2e+05   50
24   -4.34e+05  -25.1   2.2e+05   50
25   -4.34e+05  334   2.2e+05   50
26   -4.34e+05  62.4   2.2e+05   50
27   -4.34e+05  172   2.19e+05   50
28   -4.34e+05  -71   2.19e+05   50
29   -4.34e+05  -450   2.19e+05   49
30   -4.34e+05  -333   2.19e+05   49
31   -4.34e+05  -378   2.19e+05   50
32   -4.34e+05  -110   2.18e+05   49
33   -4.34e+05  179   2.18e+05   50
34   -4.34e+05  213   2.18e+05   49
35   -4.34e+05  467   2.18e+05   50
36   -4.34e+05  369   2.18e+05   50
37   -4.33e+05  112   2.18e+05   50
38   -4.33e+05  163   2.18e+05   50
39   -4.33e+05  79.5   2.17e+05   49
40   -4.33e+05  88.4   2.17e+05   50
41   -4.33e+05  103   2.17e+05   50
42   -4.33e+05  356   2.17e+05   50
43   -4.33e+05  220   2.17e+05   49
44   -4.33e+05  113   2.17e+05   50
45   -4.33e+05  124   2.17e+05   50
46   -4.33e+05  4.97   2.17e+05   50
47   -4.33e+05  -99.2   2.17e+05   50
48   -4.33e+05  -172   2.16e+05   50
49   -4.33e+05  -74.7   2.16e+05   50
50   -4.33e+05  -188   2.16e+05   50
51   -4.33e+05  -409   2.16e+05   50
52   -4.33e+05  -355   2.16e+05   50
53   -4.33e+05  -209   2.16e+05   50
54   -4.33e+05  -254   2.16e+05   50
55   -4.33e+05  78.6   2.16e+05   49
56   -4.33e+05  59.7   2.16e+05   50
57   -4.33e+05  93.9   2.16e+05   49
58   -4.33e+05  47.3   2.15e+05   50
59   -4.33e+05  202   2.15e+05   50
60   -4.33e+05  262   2.15e+05   50
61   -4.33e+05  209   2.15e+05   50
62   -4.33e+05  184   2.15e+05   50
63   -4.33e+05  325   2.15e+05   50
64   -4.33e+05  245   2.15e+05   50
65   -4.33e+05  367   2.15e+05   50
66   -4.33e+05  350   2.15e+05   50
67   -4.33e+05  365   2.15e+05   50
68   -4.33e+05  348   2.15e+05   50
69   -4.33e+05  537   2.14e+05   50
70   -4.33e+05  529   2.14e+05   50
71   -4.33e+05  428   2.14e+05   50
72   -4.33e+05  807   2.14e+05   50
73   -4.33e+05  961   2.14e+05   50
74   -4.33e+05  1.16e+03   2.14e+05   50
75   -4.33e+05  1.19e+03   2.14e+05   50
76   -4.33e+05  1.04e+03   2.14e+05   50
77   -4.33e+05  679   2.14e+05   50
78   -4.33e+05  722   2.14e+05   50
79   -4.33e+05  605   2.14e+05   50
80   -4.33e+05  474   2.13e+05   50
81   -4.32e+05  612   2.13e+05   50
82   -4.33e+05  645   2.13e+05   50
83   -4.33e+05  562   2.13e+05   50
84   -4.33e+05  450   2.13e+05   50
85   -4.33e+05  531   2.13e+05   50
86   -4.33e+05  501   2.13e+05   50
87   -4.33e+05  382   2.13e+05   50
88   -4.33e+05  597   2.13e+05   50
89   -4.33e+05  633   2.13e+05   49
90   -4.33e+05  681   2.13e+05   50
91   -4.33e+05  545   2.13e+05   50
