***************************************
*           Modello XY                *
*      Simulazione Monte Carlo        *
***************************************

Parametri simulativi:

Lato reticolo:           200
Temperatura:             0.75
Beta:                    1.33
J:                       1
Delta:                   1.4
Numero blocchi           10
Lunghezza simulazione:   1
Fase di termalizzazione: 1000



Numero mossa   Energia    Magnetizzazione X    Magnetizzazione Y    Acc. rate
1   -7.51e+04  79.9   3.87e+04   42
2   -7.17e+04  135   3.75e+04   44
3   -6.95e+04  114   3.67e+04   46
4   -6.8e+04  144   3.6e+04   48
5   -6.7e+04  122   3.55e+04   48
6   -6.61e+04  -19.3   3.51e+04   48
7   -6.53e+04  62.9   3.47e+04   49
8   -6.49e+04  67.3   3.44e+04   49
9   -6.46e+04  178   3.41e+04   49
10   -6.43e+04  144   3.39e+04   50
11   -6.42e+04  247   3.37e+04   50
12   -6.39e+04  171   3.35e+04   50
13   -6.38e+04  96.5   3.33e+04   49
14   -6.36e+04  231   3.32e+04   50
15   -6.35e+04  360   3.3e+04   50
16   -6.35e+04  363   3.3e+04   49
17   -6.34e+04  341   3.29e+04   50
18   -6.35e+04  316   3.29e+04   49
19   -6.33e+04  171   3.27e+04   50
20   -6.33e+04  81.6   3.26e+04   49
21   -6.33e+04  54.5   3.25e+04   50
22   -6.33e+04  175   3.25e+04   50
23   -6.33e+04  197   3.24e+04   50
24   -6.31e+04  276   3.23e+04   50
25   -6.31e+04  146   3.23e+04   50
26   -6.31e+04  120   3.22e+04   50
27   -6.31e+04  106   3.22e+04   50
28   -6.31e+04  136   3.21e+04   50
29   -6.31e+04  -34.4   3.22e+04   49
30   -6.32e+04  70.9   3.21e+04   50
31   -6.31e+04  24.3   3.22e+04   50
32   -6.32e+04  86.9   3.21e+04   50
33   -6.3e+04  162   3.21e+04   50
34   -6.31e+04  195   3.2e+04   50
35   -6.3e+04  204   3.19e+04   50
36   -6.31e+04  270   3.19e+04   50
37   -6.3e+04  317   3.18e+04   50
38   -6.29e+04  213   3.17e+04   50
39   -6.29e+04  255   3.17e+04   50
