***************************************
*           Modello XY                *
*      Simulazione Monte Carlo        *
***************************************

Parametri simulativi:

Lato reticolo:           200
Temperatura:             1
Beta:                    1
J:                       1
Delta:                   1.7
Numero blocchi           10
Lunghezza simulazione:   1
Fase di termalizzazione: 1000



Numero mossa   Energia    Magnetizzazione X    Magnetizzazione Y    Acc. rate
1   -7.34e+04  -136   3.82e+04   40
2   -6.89e+04  -71.3   3.67e+04   43
3   -6.58e+04  -6.25   3.55e+04   45
4   -6.37e+04  -1.23   3.46e+04   46
5   -6.18e+04  109   3.37e+04   47
6   -6.05e+04  125   3.31e+04   48
7   -5.94e+04  201   3.24e+04   49
8   -5.88e+04  195   3.2e+04   49
9   -5.81e+04  163   3.16e+04   49
10   -5.78e+04  127   3.12e+04   49
11   -5.74e+04  123   3.09e+04   50
12   -5.7e+04  176   3.06e+04   49
13   -5.66e+04  224   3.03e+04   50
14   -5.64e+04  232   3.01e+04   50
15   -5.63e+04  322   2.99e+04   50
16   -5.61e+04  309   2.97e+04   50
17   -5.61e+04  312   2.95e+04   50
18   -5.6e+04  260   2.94e+04   50
19   -5.56e+04  249   2.91e+04   50
20   -5.55e+04  245   2.89e+04   50
21   -5.52e+04  230   2.88e+04   50
22   -5.51e+04  87.2   2.86e+04   50
23   -5.5e+04  69.1   2.84e+04   50
24   -5.5e+04  78.2   2.84e+04   51
25   -5.51e+04  51.6   2.83e+04   51
26   -5.49e+04  112   2.81e+04   51
27   -5.49e+04  215   2.81e+04   51
28   -5.47e+04  251   2.79e+04   51
29   -5.46e+04  249   2.77e+04   51
30   -5.46e+04  -0.832   2.77e+04   51
31   -5.46e+04  223   2.76e+04   51
32   -5.44e+04  217   2.74e+04   51
33   -5.45e+04  280   2.73e+04   51
34   -5.43e+04  214   2.73e+04   51
35   -5.42e+04  252   2.72e+04   51
36   -5.44e+04  413   2.72e+04   51
37   -5.45e+04  539   2.72e+04   51
38   -5.45e+04  443   2.71e+04   51
39   -5.43e+04  488   2.7e+04   50
40   -5.43e+04  621   2.69e+04   51
41   -5.44e+04  449   2.69e+04   50
42   -5.42e+04  494   2.68e+04   51
43   -5.42e+04  478   2.68e+04   51
44   -5.43e+04  624   2.67e+04   51
45   -5.44e+04  483   2.67e+04   51
46   -5.43e+04  542   2.67e+04   51
47   -5.42e+04  427   2.66e+04   51
48   -5.43e+04  375   2.65e+04   51
49   -5.42e+04  339   2.64e+04   50
50   -5.44e+04  210   2.64e+04   51
51   -5.42e+04  232   2.63e+04   51
52   -5.41e+04  215   2.63e+04   51
53   -5.39e+04  236   2.62e+04   51
54   -5.4e+04  319   2.62e+04   51
55   -5.41e+04  365   2.62e+04   51
56   -5.41e+04  404   2.61e+04   51
57   -5.42e+04  400   2.61e+04   51
58   -5.41e+04  481   2.6e+04   51
59   -5.4e+04  479   2.59e+04   51
60   -5.41e+04  547   2.59e+04   51
61   -5.42e+04  597   2.59e+04   51
62   -5.42e+04  714   2.59e+04   51
63   -5.41e+04  782   2.58e+04   51
64   -5.41e+04  857   2.57e+04   51
65   -5.4e+04  827   2.56e+04   51
66   -5.4e+04  894   2.56e+04   51
67   -5.41e+04  900   2.55e+04   51
68   -5.42e+04  833   2.56e+04   51
69   -5.43e+04  831   2.56e+04   51
70   -5.43e+04  975   2.58e+04   51
71   -5.42e+04  970   2.58e+04   51
72   -5.42e+04  914   2.57e+04   51
73   -5.41e+04  835   2.57e+04   50
74   -5.42e+04  835   2.56e+04   51
75   -5.41e+04  894   2.56e+04   51
76   -5.4e+04  880   2.55e+04   51
77   -5.38e+04  860   2.54e+04   51
78   -5.37e+04  955   2.53e+04   51
79   -5.36e+04  950   2.53e+04   51
80   -5.37e+04  949   2.52e+04   51
81   -5.38e+04  993   2.52e+04   51
82   -5.36e+04  979   2.52e+04   51
83   -5.35e+04  957   2.52e+04   51
84   -5.36e+04  1e+03   2.52e+04   51
85   -5.36e+04  1.02e+03   2.51e+04   51
86   -5.36e+04  1.08e+03   2.5e+04   51
87   -5.37e+04  1.2e+03   2.5e+04   51
88   -5.36e+04  1.26e+03   2.5e+04   51
89   -5.36e+04  1.3e+03   2.51e+04   51
90   -5.35e+04  1.22e+03   2.5e+04   51
91   -5.35e+04  1.26e+03   2.5e+04   51
92   -5.37e+04  1.06e+03   2.5e+04   51
93   -5.39e+04  1.21e+03   2.51e+04   51
94   -5.39e+04  1.06e+03   2.5e+04   51
95   -5.4e+04  1.1e+03   2.5e+04   51
96   -5.4e+04  1.2e+03   2.5e+04   51
97   -5.38e+04  1.15e+03   2.49e+04   51
98   -5.38e+04  1.21e+03   2.5e+04   51
99   -5.38e+04  1.18e+03   2.5e+04   51
