***************************************
*           Modello XY                *
*      Simulazione Monte Carlo        *
***************************************

Parametri simulativi:

Lato reticolo:           300
Temperatura:             1
Beta:                    1
J:                       1
Delta:                   1.7
Numero blocchi           1
Lunghezza simulazione:   1000
Fase di termalizzazione: -1



Numero mossa   Energia    Magnetizzazione X    Magnetizzazione Y    Acc. rate
1   -1.65e+05  -7.92   8.59e+04   40
2   -1.55e+05  -86.7   8.26e+04   43
3   -1.48e+05  -395   7.99e+04   45
4   -1.43e+05  -479   7.76e+04   47
5   -1.39e+05  -175   7.58e+04   47
6   -1.36e+05  -105   7.43e+04   48
7   -1.34e+05  73.3   7.3e+04   48
8   -1.32e+05  -133   7.19e+04   49
9   -1.31e+05  -124   7.09e+04   49
10   -1.3e+05  -476   7.01e+04   49
11   -1.29e+05  -469   6.93e+04   50
12   -1.28e+05  -523   6.86e+04   50
13   -1.28e+05  -517   6.82e+04   50
14   -1.27e+05  -509   6.76e+04   50
15   -1.27e+05  -470   6.7e+04   50
16   -1.26e+05  -218   6.66e+04   50
17   -1.26e+05  -616   6.63e+04   50
18   -1.25e+05  -486   6.59e+04   50
19   -1.25e+05  -550   6.55e+04   50
20   -1.25e+05  -567   6.51e+04   50
21   -1.24e+05  -666   6.47e+04   50
22   -1.24e+05  -447   6.43e+04   51
23   -1.24e+05  -463   6.4e+04   50
24   -1.24e+05  -575   6.39e+04   50
25   -1.24e+05  -723   6.37e+04   50
26   -1.24e+05  -504   6.35e+04   50
27   -1.23e+05  -330   6.32e+04   51
28   -1.23e+05  -136   6.3e+04   51
29   -1.23e+05  -46.8   6.3e+04   51
30   -1.23e+05  -63.1   6.27e+04   51
31   -1.23e+05  -210   6.25e+04   51
32   -1.23e+05  -342   6.22e+04   50
33   -1.23e+05  -594   6.19e+04   51
34   -1.23e+05  -537   6.18e+04   51
35   -1.23e+05  -604   6.17e+04   51
36   -1.23e+05  -632   6.15e+04   51
37   -1.23e+05  -766   6.13e+04   50
38   -1.23e+05  -656   6.11e+04   51
39   -1.23e+05  -969   6.1e+04   50
40   -1.22e+05  -983   6.08e+04   51
41   -1.22e+05  -888   6.08e+04   51
42   -1.22e+05  -969   6.08e+04   51
43   -1.22e+05  -781   6.06e+04   51
44   -1.22e+05  -972   6.05e+04   51
45   -1.22e+05  -985   6.04e+04   51
46   -1.22e+05  -1.09e+03   6.05e+04   51
47   -1.22e+05  -818   6.02e+04   50
48   -1.22e+05  -700   6e+04   51
49   -1.21e+05  -732   5.98e+04   51
50   -1.21e+05  -623   5.96e+04   51
51   -1.22e+05  -577   5.97e+04   51
52   -1.22e+05  -576   5.95e+04   51
53   -1.21e+05  -260   5.93e+04   51
54   -1.22e+05  -352   5.93e+04   51
55   -1.21e+05  -176   5.91e+04   51
56   -1.21e+05  -392   5.9e+04   51
57   -1.21e+05  -229   5.9e+04   51
58   -1.21e+05  -126   5.88e+04   51
59   -1.21e+05  -37.8   5.88e+04   51
60   -1.21e+05  -110   5.87e+04   51
61   -1.21e+05  -175   5.87e+04   51
62   -1.21e+05  -41.2   5.86e+04   51
63   -1.21e+05  -30.8   5.85e+04   51
64   -1.21e+05  19.3   5.85e+04   51
