***************************************
*           Modello XY                *
*      Simulazione Monte Carlo        *
***************************************

Parametri simulativi:

Lato reticolo:           300
Temperatura:             1.5
Beta:                    0.667
J:                       1
Delta:                   3.2
Numero blocchi           1
Lunghezza simulazione:   1000
Fase di termalizzazione: -1



Numero mossa   Energia    Magnetizzazione X    Magnetizzazione Y    Acc. rate
1   -1.62e+05  -13.4   8.52e+04   27
2   -1.48e+05  46.3   8.07e+04   30
3   -1.37e+05  42.4   7.65e+04   32
4   -1.27e+05  -67.6   7.27e+04   34
5   -1.19e+05  -170   6.9e+04   37
6   -1.12e+05  -181   6.58e+04   38
7   -1.07e+05  -541   6.27e+04   39
8   -1.03e+05  -312   5.98e+04   41
9   -9.89e+04  -274   5.7e+04   42
10   -9.59e+04  -30.7   5.45e+04   43
11   -9.3e+04  5.87   5.22e+04   43
12   -9.03e+04  -87.3   4.99e+04   44
13   -8.84e+04  187   4.81e+04   45
14   -8.63e+04  43.6   4.61e+04   46
15   -8.47e+04  0.779   4.41e+04   46
16   -8.3e+04  -128   4.24e+04   47
17   -8.11e+04  -108   4.02e+04   47
18   -8.03e+04  -290   3.88e+04   48
19   -7.88e+04  -209   3.7e+04   48
20   -7.85e+04  -709   3.56e+04   48
21   -7.78e+04  -642   3.38e+04   48
22   -7.74e+04  -518   3.27e+04   49
23   -7.7e+04  -309   3.15e+04   48
24   -7.62e+04  -574   3.04e+04   49
25   -7.57e+04  -646   2.93e+04   49
26   -7.51e+04  -625   2.8e+04   49
27   -7.47e+04  -591   2.67e+04   50
28   -7.39e+04  -530   2.57e+04   50
29   -7.37e+04  -685   2.44e+04   50
30   -7.29e+04  -963   2.37e+04   50
31   -7.25e+04  -852   2.25e+04   50
32   -7.25e+04  -617   2.18e+04   50
33   -7.21e+04  -685   2.09e+04   50
34   -7.2e+04  -546   2.02e+04   50
35   -7.17e+04  -445   1.97e+04   50
36   -7.16e+04  -383   1.89e+04   51
37   -7.16e+04  -361   1.82e+04   51
38   -7.17e+04  -354   1.75e+04   50
39   -7.2e+04  -262   1.71e+04   51
40   -7.18e+04  247   1.61e+04   51
