#Time Step Temp c_Twater PotEng KinEng TotEng
0 0 0 0 -800.89761 0 -800.89761
0.1 100 235.1891 235.1845 -891.46605 91.171329 -800.29472
0.2 200 235.67606 235.67307 -890.81805 91.360102 -799.45795
0.3 300 241.00144 240.99552 -892.61123 93.424491 -799.18674
0.4 400 242.52685 242.5207 -892.5545 94.015819 -798.53868
0.5 500 244.25176 244.23594 -892.97317 94.684484 -798.28868
0.6 600 248.8681 248.85164 -894.24419 96.474012 -797.77018
0.7 700 254.8091 254.78842 -895.52442 98.777046 -796.74738
0.8 800 252.09003 252.06644 -893.99344 97.722998 -796.27044
0.9 900 255.83971 255.81002 -894.85927 99.176564 -795.68271
1 1000 260.04512 260.02403 -896.26564 100.8068 -795.45885
1.1 1100 263.24895 263.22068 -897.32938 102.04876 -795.28062
1.2 1200 261.02946 260.99518 -896.1575 101.18838 -794.96912
1.3 1300 262.9231 262.8901 -896.62243 101.92245 -794.69998
1.4 1400 270.46646 270.42722 -899.41146 104.84664 -794.56482
1.5 1500 267.0224 266.98553 -897.81567 103.51155 -794.30413
1.6 1600 264.81772 264.77781 -896.0941 102.6569 -793.4372
1.7 1700 269.03929 268.98931 -897.35511 104.2934 -793.06172
1.8 1800 267.79782 267.75371 -896.48146 103.81214 -792.66932
1.9 1900 265.87193 265.81223 -894.97991 103.06557 -791.91434
2 2000 269.95566 269.87979 -896.12238 104.64863 -791.47375
2.1 2100 272.95012 272.86541 -897.18369 105.80944 -791.37426
2.2 2200 275.24652 275.14488 -897.73796 106.69964 -791.03832
2.3 2300 275.96416 275.87901 -898.08877 106.97783 -791.11094
2.4 2400 275.07414 274.99945 -897.62742 106.63282 -790.9946
2.5 2500 274.25471 274.17781 -897.20635 106.31516 -790.89119
2.6 2600 277.57714 277.49125 -898.91602 107.60311 -791.31291
2.7 2700 274.71493 274.61461 -897.28331 106.49357 -790.78975
2.8 2800 274.22618 274.08884 -897.30146 106.3041 -790.99736
2.9 2900 277.03299 276.86233 -898.18489 107.39217 -790.79272
3 3000 278.63638 278.46346 -898.99123 108.01372 -790.97751
3.1 3100 274.76704 274.59822 -897.73348 106.51376 -791.21972
3.2 3200 278.24144 278.08731 -898.69865 107.86062 -790.83803
3.3 3300 275.83194 275.66527 -897.75376 106.92658 -790.82718
3.4 3400 287.35264 287.18469 -902.18318 111.39259 -790.79059
3.5 3500 280.88421 280.72946 -899.50045 108.8851 -790.61536
3.6 3600 284.70507 284.55346 -900.89746 110.36626 -790.5312
3.7 3700 283.83254 283.68673 -900.36069 110.02802 -790.33267
3.8 3800 289.69239 289.55131 -902.39699 112.29959 -790.0974
3.9 3900 283.97269 283.81965 -900.10453 110.08235 -790.02218
4 4000 284.94207 284.78848 -900.50045 110.45813 -790.04232
4.1 4100 280.69861 280.51642 -898.05737 108.81314 -789.24422
4.2 4200 285.82371 285.6312 -900.00092 110.7999 -789.20102
4.3 4300 288.41612 288.19656 -901.36753 111.80485 -789.56269
4.4 4400 285.12058 284.91988 -899.66599 110.52733 -789.13866
4.5 4500 281.93522 281.72542 -898.95123 109.29252 -789.65871
4.6 4600 292.13592 291.96574 -902.53258 113.24683 -789.28575
4.7 4700 287.08794 286.93112 -900.14996 111.28998 -788.85998
4.8 4800 287.78045 287.5915 -900.30499 111.55843 -788.74657
4.9 4900 292.23083 292.07309 -901.89696 113.28362 -788.61334
5 5000 294.22619 294.05485 -902.83366 114.05713 -788.77653
5.1 5100 289.79922 289.63282 -900.74073 112.34101 -788.39973
5.2 5200 284.53057 284.31795 -898.2029 110.29861 -787.90429
5.3 5300 294.32548 294.13148 -901.50848 114.09562 -787.41286
5.4 5400 290.95396 290.73349 -900.16593 112.78864 -787.37729
5.5 5500 293.0029 292.79339 -900.37665 113.58292 -786.79374
5.6 5600 290.31472 290.12624 -899.61859 112.54084 -787.07774
5.7 5700 287.46787 287.2673 -897.76626 111.43726 -786.32901
5.8 5800 300.43964 300.23946 -902.69336 116.46578 -786.22758
5.9 5900 297.19584 296.99155 -901.2151 115.20832 -786.00678
6 6000 297.36794 297.15041 -900.7908 115.27503 -785.51577
6.1 6100 288.15423 287.95159 -897.85711 111.70333 -786.15378
6.2 6200 291.42623 291.19689 -899.12419 112.97172 -786.15247
6.3 6300 295.31237 295.08874 -900.42042 114.47819 -785.94223
6.4 6400 293.0363 292.83521 -899.25089 113.59587 -785.65503
6.5 6500 287.65832 287.46256 -896.62128 111.51109 -785.1102
6.6 6600 295.82774 295.65988 -900.03333 114.67797 -785.35536
6.7 6700 296.26603 296.06521 -899.82442 114.84787 -784.97655
6.8 6800 292.10318 291.9159 -898.22145 113.23414 -784.9873
6.9 6900 297.36958 297.17116 -900.32063 115.27567 -785.04496
7 7000 295.18093 294.9465 -899.68024 114.42723 -785.25301
7.1 7100 297.47112 297.23919 -900.64221 115.31503 -785.32718
7.2 7200 289.13647 288.88818 -897.63107 112.08409 -785.54698
7.3 7300 300.90588 300.66514 -902.28758 116.64652 -785.64106
7.4 7400 295.30969 295.07886 -899.92971 114.47715 -785.45256
7.5 7500 290.69754 290.47057 -898.11871 112.68924 -785.42947
7.6 7600 299.44106 299.23956 -901.24973 116.07868 -785.17105
7.7 7700 295.32389 295.10979 -899.78413 114.48265 -785.30148
7.8 7800 294.56852 294.32818 -899.57217 114.18983 -785.38234
7.9 7900 307.25475 307.00531 -904.03103 119.10766 -784.92337
8 8000 299.41605 299.16696 -901.65225 116.06898 -785.58327
8.1 8100 299.32423 299.0593 -901.47336 116.03339 -785.43997
8.2 8200 296.39894 296.14108 -899.58083 114.8994 -784.68144
8.3 8300 295.67914 295.33942 -899.47926 114.62037 -784.8589
8.4 8400 300.54532 300.18505 -901.03977 116.50675 -784.53302
8.5 8500 293.26542 292.86019 -898.89373 113.68468 -785.20905
8.6 8600 301.63325 301.21009 -902.26193 116.92848 -785.33344
8.7 8700 291.43016 291.03611 -897.78078 112.97324 -784.80753
8.8 8800 300.51291 300.15364 -900.96914 116.49418 -784.47496
8.9 8900 298.2986 297.91377 -900.77411 115.6358 -785.1383
9 9000 295.28001 294.92924 -899.82496 114.46564 -785.35932
9.1 9100 295.85019 295.5443 -899.7334 114.68667 -785.04672
9.2 9200 297.23657 296.94009 -900.00508 115.2241 -784.78097
9.3 9300 296.87506 296.56138 -899.5342 115.08397 -784.45024
9.4 9400 298.77675 298.45038 -900.33408 115.82116 -784.51292
9.5 9500 298.96337 298.61232 -900.83184 115.8935 -784.93834
9.6 9600 294.77694 294.42441 -899.72362 114.27063 -785.45299
9.7 9700 301.66798 301.30315 -902.7564 116.94195 -785.81446
9.8 9800 303.96358 303.52325 -903.75214 117.83184 -785.9203
9.9 9900 295.24593 294.76665 -900.54355 114.45243 -786.09111
10 10000 301.60867 301.12776 -903.56138 116.91896 -786.64242
10.1 10100 298.81788 298.2756 -901.93224 115.8371 -786.09514
10.2 10200 299.87234 299.35926 -902.62488 116.24586 -786.37902
10.3 10300 301.71727 301.19732 -903.2072 116.96105 -786.24615
10.4 10400 291.72642 291.25098 -899.86613 113.08809 -786.77805
10.5 10500 294.88415 294.43644 -901.07507 114.31219 -786.76289
10.6 10600 304.78355 304.27939 -904.7945 118.1497 -786.6448
10.7 10700 300.35416 299.89386 -903.44249 116.43264 -787.00985
10.8 10800 301.05828 300.61512 -903.69454 116.7056 -786.98895
10.9 10900 296.66186 296.23975 -902.53261 115.00132 -787.53129
11 11000 302.50828 302.06861 -904.61239 117.26769 -787.3447
11.1 11100 302.50677 302.01159 -904.80561 117.2671 -787.53851
11.2 11200 298.36453 297.85619 -903.07631 115.66136 -787.41495
11.3 11300 296.0275 295.57432 -902.48357 114.75541 -787.72816
11.4 11400 305.1759 304.74336 -906.46769 118.3018 -788.16589
11.5 11500 298.42843 298.03574 -903.89228 115.68613 -788.20615
11.6 11600 303.04816 302.6987 -905.57925 117.47698 -788.10227
11.7 11700 298.22925 297.88201 -903.68197 115.60892 -788.07305
11.8 11800 297.90906 297.55062 -903.4289 115.4848 -787.9441
11.9 11900 302.89185 302.55769 -904.98386 117.41638 -787.56748
12 12000 302.0558 301.75617 -904.21176 117.09228 -787.11947
12.1 12100 298.55088 298.21472 -902.99558 115.7336 -787.26198
12.2 12200 298.96128 298.61114 -904.02121 115.89269 -788.12852
12.3 12300 296.62269 296.28219 -903.30008 114.98613 -788.31395
12.4 12400 297.33769 296.9955 -904.37989 115.26331 -789.11658
12.5 12500 301.92844 301.51648 -906.35449 117.04292 -789.31157
12.6 12600 297.51058 297.10905 -904.48384 115.33033 -789.15352
12.7 12700 296.50379 296.11562 -903.70058 114.94004 -788.76054
12.8 12800 299.55623 299.17964 -905.40246 116.12332 -789.27914
12.9 12900 293.54221 293.1591 -902.81088 113.79198 -789.01889
13 13000 292.7148 292.29389 -902.83974 113.47124 -789.3685
13.1 13100 286.30526 285.90236 -900.89626 110.98657 -789.90969
13.2 13200 295.67881 295.35404 -904.47593 114.62024 -789.85569
13.3 13300 294.08152 293.74003 -903.52633 114.00105 -789.52528
13.4 13400 300.09084 299.6942 -906.03273 116.33057 -789.70216
13.5 13500 296.20498 295.81944 -904.1244 114.82421 -789.30019
13.6 13600 298.699 298.30376 -904.91262 115.79102 -789.1216
13.7 13700 295.64066 295.2442 -903.55352 114.60545 -788.94807
13.8 13800 300.22021 299.82373 -905.47841 116.38072 -789.09769
13.9 13900 295.55991 295.14306 -903.5272 114.57415 -788.95305
14 14000 305.34272 304.9222 -907.46908 118.36646 -789.10261
14.1 14100 296.85257 296.46204 -904.0284 115.07525 -788.95315
14.2 14200 295.495 295.15702 -903.57351 114.54898 -789.02453
14.3 14300 294.00904 293.64915 -902.92443 113.97295 -788.95148
14.4 14400 295.90318 295.57722 -903.82971 114.70721 -789.1225
14.5 14500 296.03667 295.70707 -903.95313 114.75896 -789.19417
14.6 14600 296.25448 295.92761 -903.88007 114.8434 -789.03667
14.7 14700 289.45412 289.10719 -900.92732 112.20723 -788.72009
14.8 14800 295.33737 294.96673 -903.47452 114.48788 -788.98664
