#time   msd   diff_coeff 
5 3.56114 0.356114
10 6.5959 0.329795
15 9.70283 0.323428
20 12.9508 0.32377
25 16.1829 0.323658
30 19.4016 0.32336
35 22.6508 0.323583
40 25.9436 0.324295
45 29.3109 0.325677
50 32.7282 0.327282
55 36.0887 0.328079
60 39.3978 0.328315
65 42.7213 0.328625
70 46.129 0.329493
75 49.6047 0.330698
80 53.0501 0.331563
85 56.4774 0.33222
90 60.0204 0.333447
95 63.5492 0.334469
100 66.9819 0.334909
105 70.3564 0.33503
110 73.7616 0.33528
115 77.1405 0.335393
120 80.5005 0.335419
125 83.7796 0.335118
130 87.0126 0.334664
135 90.2064 0.334098
140 93.5794 0.334212
145 96.9855 0.334433
150 100.427 0.334757
155 103.99 0.335452
160 107.56 0.336125
165 111.268 0.337176
170 115.026 0.338312
175 118.826 0.339503
180 122.673 0.340758
185 126.497 0.341884
190 130.253 0.342771
195 133.966 0.343503
200 137.7 0.34425
205 141.494 0.345107
210 145.404 0.3462
215 149.491 0.347653
220 153.474 0.348805
225 157.441 0.349869
230 161.418 0.350909
235 165.214 0.351519
240 168.839 0.351748
245 172.52 0.352082
250 176.318 0.352636
255 180.034 0.353008
260 183.661 0.353194
265 187.23 0.353264
270 190.985 0.353676
275 194.762 0.354113
280 198.544 0.354543
285 202.419 0.355121
290 206.341 0.35576
295 210.332 0.356495
300 214.454 0.357423
305 218.505 0.358205
310 222.635 0.359089
315 226.874 0.360117
320 231.084 0.361069
325 235.188 0.361828
330 239.236 0.362479
335 243.536 0.363487
340 247.855 0.364493
345 252.193 0.365497
350 256.479 0.366399
355 260.744 0.367245
360 265.026 0.368092
365 269.266 0.368858
370 273.435 0.369507
375 277.688 0.370251
380 282.121 0.371212
385 286.572 0.372171
390 291.039 0.373127
395 295.401 0.373925
400 299.771 0.374714
405 304.202 0.375558
410 308.616 0.376361
415 312.995 0.377102
420 317.386 0.37784
425 321.965 0.378782
430 326.696 0.379879
435 331.377 0.380893
440 336.192 0.382036
445 341.066 0.38322
450 345.951 0.38439
455 350.975 0.385687
460 356.129 0.387097
465 361.452 0.388658
470 366.929 0.39035
475 372.449 0.392052
480 378.03 0.393781
485 383.558 0.395421
490 389.057 0.396997
495 394.499 0.398484
500 400.004 0.400004
505 405.484 0.401469
510 410.918 0.402861
515 416.421 0.404292
520 421.853 0.405628
525 427.236 0.406891
530 432.619 0.408131
535 438.222 0.409553
540 443.889 0.411008
545 449.515 0.412399
550 455.152 0.413775
555 460.896 0.415222
560 466.681 0.416679
565 472.367 0.418024
570 477.991 0.41929
575 483.702 0.42061
580 489.526 0.422005
585 495.465 0.423474
590 501.505 0.425004
595 507.618 0.42657
600 513.731 0.428109
605 519.869 0.429644
610 525.915 0.431078
615 531.937 0.432469
620 537.918 0.433805
625 544.041 0.435233
630 550.335 0.436774
635 556.669 0.438322
640 562.995 0.43984
645 569.23 0.441264
650 575.306 0.442543
655 581.336 0.443768
660 587.367 0.444975
665 593.289 0.446082
670 599.071 0.447068
675 604.847 0.448035
680 610.505 0.448901
685 616.09 0.449701
690 621.638 0.450462
695 627.122 0.451167
700 632.697 0.451926
705 638.309 0.452701
710 643.894 0.453446
715 649.428 0.454145
720 655.052 0.454897
725 660.645 0.455617
730 666.136 0.456258
735 671.584 0.45686
740 677.037 0.457457
745 682.568 0.458099
750 688.129 0.458753
755 693.789 0.459463
760 699.478 0.460183
765 705.271 0.460961
770 711.196 0.461816
775 717.196 0.462707
780 723.158 0.463563
785 729.064 0.464372
790 734.981 0.465178
795 740.921 0.465988
800 746.796 0.466748
805 752.735 0.467537
810 758.715 0.468343
815 764.603 0.469082
820 770.428 0.469773
825 776.346 0.470513
830 782.41 0.471331
835 788.384 0.472086
840 794.414 0.472865
845 800.321 0.473563
850 806.213 0.474243
855 812.134 0.474932
860 818.062 0.475617
865 823.982 0.47629
870 829.826 0.476911
875 835.657 0.477518
880 841.567 0.478163
885 847.457 0.478789
890 853.428 0.479454
895 859.298 0.480055
900 865.156 0.480642
905 871.074 0.481256
910 877.07 0.481907
915 883.194 0.48262
920 889.455 0.483399
925 895.856 0.484246
930 902.314 0.485115
935 908.736 0.485955
940 915.149 0.486781
945 921.345 0.487484
950 927.529 0.488173
955 933.669 0.488832
960 939.738 0.489447
965 945.834 0.490069
970 951.969 0.490706
975 958.109 0.491338
980 964.209 0.491943
985 970.291 0.492534
990 976.321 0.493091
995 982.301 0.493619
1000 988.287 0.494144
1005 994.238 0.494646
1010 1000.12 0.495109
1015 1005.98 0.495557
1020 1011.83 0.495995
1025 1017.77 0.496473
1030 1023.79 0.496985
1035 1029.88 0.497527
1040 1035.88 0.498019
1045 1041.94 0.498536
1050 1047.95 0.499024
1055 1054.05 0.49955
1060 1060.14 0.500066
1065 1066.18 0.500554
1070 1072.25 0.501051
1075 1078.36 0.501563
1080 1084.4 0.502037
1085 1090.32 0.502452
1090 1096.13 0.502812
1095 1101.88 0.503142
1100 1107.55 0.503432
1105 1113.28 0.503747
1110 1118.95 0.504032
1115 1124.58 0.504296
1120 1130.27 0.504585
1125 1135.87 0.504831
1130 1141.48 0.50508
1135 1147.2 0.505374
1140 1152.99 0.505697
1145 1158.61 0.505943
1150 1164.13 0.506143
1155 1169.52 0.506286
1160 1174.81 0.506384
1165 1180.13 0.506494
1170 1185.36 0.506564
1175 1190.56 0.506621
1180 1195.75 0.506674
1185 1200.9 0.506709
1190 1206.1 0.506765
1195 1211.41 0.506866
1200 1216.72 0.506967
1205 1221.96 0.507037
1210 1227.31 0.507153
1215 1232.76 0.507309
1220 1238.17 0.507447
1225 1243.58 0.507584
1230 1248.89 0.507679
1235 1254.14 0.507749
1240 1259.41 0.507827
1245 1264.66 0.507896
1250 1269.91 0.507964
1255 1275.3 0.508088
1260 1280.67 0.508202
1265 1286.05 0.50832
1270 1291.31 0.50839
1275 1296.5 0.508431
1280 1301.67 0.508465
1285 1306.91 0.508525
1290 1312.24 0.50862
1295 1317.54 0.508703
1300 1322.88 0.5088
1305 1328.18 0.508881
1310 1333.42 0.508939
1315 1338.62 0.508981
1320 1343.79 0.509011
1325 1349.01 0.50906
1330 1354.21 0.509102
1335 1359.29 0.509097
1340 1364.39 0.509101
1345 1369.35 0.509052
1350 1374.24 0.508978
1355 1379.13 0.508904
1360 1384.13 0.508871
1365 1388.93 0.508766
1370 1393.71 0.508653
1375 1398.44 0.508524
1380 1403.14 0.508384
1385 1407.92 0.508274
1390 1412.71 0.508169
1395 1417.51 0.508068
1400 1422.32 0.507971
1405 1426.92 0.507801
1410 1431.31 0.507557
1415 1435.58 0.507272
