LAMMPS (2 Aug 2023 - Update 1)
Reading data file ...
  orthogonal box = (0 0 0) to (34.9641 31.7217 30)
  3 by 2 by 1 MPI processor grid
  reading atoms ...
  157 atoms
  scanning bonds ...
  2 = max bonds/atom
  scanning angles ...
  1 = max angles/atom
  reading bonds ...
  2 bonds
  reading angles ...
  1 angles
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        0       
  special bond factors coul:  0        0        0       
     2 = max # of 1-2 neighbors
     1 = max # of 1-3 neighbors
     1 = max # of 1-4 neighbors
     2 = max # of special neighbors
  special bonds CPU = 0.000 seconds
  read_data CPU = 0.006 seconds
3 atoms in group water
Setting atom values ...
  1 settings made for charge
Setting atom values ...
  2 settings made for charge
Generated 0 of 3 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12
  ghost atom cutoff = 12
  binsize = 6, bins = 6 6 5
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/smooth/linear, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
WARNING: Dump mydump includes no atom IDs and is not sorted by ID. This may complicate post-processing tasks or visualization (../dump.cpp:221)
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 6.595 | 6.641 | 6.866 Mbytes
     Time         Step          Temp         c_Twater        PotEng         KinEng         TotEng       Ndanger      c_COM[1]       c_COM[2]       c_COM[3]   
 0                      0   0              0              0.0083566823   0              0.0083566823           0   12.112393      18.156426      14.274913    
 1                   1000   1.0205562      49.676418      0.0044800766   0.02057909     0.025059166            0   11.114896      17.445567      13.398356    
 2                   2000   0.69699087     17.087297     -0.0071095002   0.01405453     0.0069450297           0   11.378329      18.124196      12.598148    
 3                   3000   0.99157372     54.430725     -0.048927888    0.01999467    -0.028933218            0   11.609685      17.673614      11.806017    
 4                   4000   0.61262111     32.993815     -0.038082869    0.012353249   -0.02572962             0   12.024802      17.597099      11.889207    
 5                   5000   0.88223278     30.253865     -0.052864145    0.017789856   -0.035074289            0   11.679443      17.483068      11.830326    
 6                   6000   0.50081321     21.818195     -0.04654373     0.010098689   -0.036445041            0   12.495533      17.283962      11.814812    
 7                   7000   1.4877854      100.85083     -0.064360932    0.030000572   -0.034360361            0   13.224924      17.263157      11.548805    
 8                   8000   0.45094854     21.722        -0.051250381    0.0090931892  -0.042157192            0   13.426326      17.546443      11.767211    
 9                   9000   0.52638972     38.300712     -0.064165446    0.010614429   -0.053551017            0   13.330382      17.1346        11.432172    
 10                 10000   0.72783524     46.363958     -0.054145531    0.014676494   -0.039469037            0   13.021412      17.308929      11.40552     
 11                 11000   0.55849596     21.885805     -0.067746487    0.011261838   -0.056484649            0   13.424564      17.225087      11.556711    
 12                 12000   0.59187242     30.257235     -0.052120125    0.01193486    -0.040185265            0   13.70194       17.597143      11.66051     
 13                 13000   0.55665582     15.320041     -0.053933271    0.011224732   -0.042708539            0   13.854449      17.989023      11.818918    
